Clock, Solids Loading, Box Size, AAR, average X Loc, average Y Loc, average Z Loc, Largest Particle Radius, lengthOfSubparticleList, Total Ellipsoids that Merged, Max. WillFit retries, maxLenNpHoldAreClose, Viscosity Scaler
0.000000, 0.020000, 7.482204e-07, 1.000000e-08, 0.485975, 0.485975, 0.499451, 2.500000e-06, 2000, 0, 0, 0, 0.000000
169.010560, 0.020000, 7.483451e-07, 1.000231e-08, 0.504151, 0.504151, 0.503399, 1.462009e-08, 2000, 0, 0, 0, 0.000000
338.099412, 0.020000, 7.484697e-07, 1.000462e-08, 0.505638, 0.505638, 0.501546, 1.462009e-08, 2000, 0, 0, 0, 0.000000
507.266555, 0.020000, 7.485943e-07, 1.000693e-08, 0.499404, 0.499404, 0.495224, 1.462009e-08, 2000, 0, 0, 0, 0.000000
676.427537, 0.020000, 7.485943e-07, 1.000693e-08, 0.516052, 0.516052, 0.505514, 1.462009e-08, 2000, 0, 0, 0, 0.000000
845.672973, 0.020000, 7.487189e-07, 1.000924e-08, 0.485843, 0.485843, 0.492021, 1.462009e-08, 2000, 0, 0, 0, 0.000000
1014.996701, 0.020000, 7.488434e-07, 1.001155e-08, 0.495198, 0.495198, 0.492174, 1.462009e-08, 2000, 0, 0, 0, 0.000000
1184.398723, 0.020000, 7.489679e-07, 1.001386e-08, 0.501203, 0.501203, 0.506844, 1.462009e-08, 2000, 0, 0, 0, 0.000000
1353.879038, 0.020000, 7.490923e-07, 1.001617e-08, 0.489766, 0.489766, 0.501821, 1.462009e-08, 2000, 0, 0, 0, 0.000000
1523.437648, 0.020000, 7.492167e-07, 1.001848e-08, 0.488301, 0.488301, 0.500485, 1.462009e-08, 2000, 0, 0, 0, 0.000000
1692.990114, 0.020000, 7.492167e-07, 1.001848e-08, 0.496008, 0.496008, 0.497171, 1.462009e-08, 2000, 0, 0, 0, 0.000000
1862.627018, 0.020000, 7.493410e-07, 1.002079e-08, 0.492819, 0.492819, 0.494124, 1.462009e-08, 2000, 0, 0, 0, 0.000000
2032.257782, 0.020000, 7.493410e-07, 1.002079e-08, 0.497203, 0.497203, 0.505841, 1.462009e-08, 2000, 0, 0, 0, 0.000000
2201.888547, 0.020000, 7.493410e-07, 1.002079e-08, 0.494653, 0.494653, 0.502101, 1.462009e-08, 2000, 0, 0, 0, 0.000000
2371.519311, 0.020000, 7.493410e-07, 1.002079e-08, 0.509140, 0.509140, 0.499257, 1.462009e-08, 2000, 0, 0, 0, 0.000000
2541.150075, 0.020000, 7.493410e-07, 1.002079e-08, 0.486749, 0.486749, 0.499591, 1.462009e-08, 2000, 0, 0, 0, 0.000000
2710.780839, 0.020000, 7.493410e-07, 1.002079e-08, 0.503744, 0.503744, 0.495275, 1.462009e-08, 2000, 0, 0, 0, 0.000000
2880.496039, 0.020000, 7.494653e-07, 1.002310e-08, 0.494651, 0.494651, 0.507861, 1.462009e-08, 2000, 0, 0, 0, 0.000000
3050.289534, 0.020000, 7.495896e-07, 1.002541e-08, 0.495475, 0.495475, 0.505307, 1.462009e-08, 2000, 0, 0, 0, 0.000000
3220.161326, 0.020000, 7.497138e-07, 1.002772e-08, 0.497149, 0.497149, 0.506578, 1.462009e-08, 2000, 0, 0, 0, 0.000000
3390.026989, 0.020000, 7.497138e-07, 1.002772e-08, 0.504553, 0.504553, 0.501723, 1.462009e-08, 2000, 0, 0, 0, 0.000000
3559.892651, 0.020000, 7.497138e-07, 1.002772e-08, 0.499872, 0.499872, 0.499096, 1.462009e-08, 2000, 0, 0, 0, 0.000000
3729.758314, 0.020000, 7.497138e-07, 1.002772e-08, 0.504023, 0.504023, 0.486279, 1.462009e-08, 2000, 0, 0, 0, 0.000000
3899.708402, 0.020000, 7.498380e-07, 1.003003e-08, 0.500380, 0.500380, 0.504439, 1.462009e-08, 2000, 0, 0, 0, 0.000000
4069.736788, 0.020000, 7.499622e-07, 1.003234e-08, 0.501460, 0.501460, 0.501112, 1.462009e-08, 2000, 0, 0, 0, 0.000000
4239.759052, 0.020000, 7.499622e-07, 1.003234e-08, 0.497350, 0.497350, 0.505993, 1.462009e-08, 2000, 0, 0, 0, 0.000000
4409.781316, 0.020000, 7.499622e-07, 1.003234e-08, 0.493223, 0.493223, 0.487332, 1.462009e-08, 2000, 0, 0, 0, 0.000000
4579.803580, 0.020000, 7.499622e-07, 1.003234e-08, 0.489570, 0.489570, 0.501999, 1.462009e-08, 2000, 0, 0, 0, 0.000000
4749.825844, 0.020000, 7.499622e-07, 1.003234e-08, 0.506591, 0.506591, 0.500844, 1.462009e-08, 2000, 0, 0, 0, 0.000000
4919.848108, 0.020000, 7.499622e-07, 1.003234e-08, 0.496163, 0.496163, 0.498141, 1.462009e-08, 2000, 0, 0, 0, 0.000000
5089.870372, 0.020000, 7.499622e-07, 1.003234e-08, 0.494571, 0.494571, 0.498503, 1.462009e-08, 2000, 0, 0, 0, 0.000000
5259.892636, 0.020000, 7.499622e-07, 1.003234e-08, 0.509068, 0.509068, 0.504849, 1.462009e-08, 2000, 0, 0, 0, 0.000000
5429.914900, 0.020000, 7.499622e-07, 1.003234e-08, 0.497756, 0.497756, 0.504758, 1.462009e-08, 2000, 0, 0, 0, 0.000000
5599.937164, 0.020000, 7.499622e-07, 1.003234e-08, 0.492011, 0.492011, 0.503798, 1.462009e-08, 2000, 0, 0, 0, 0.000000
5769.959428, 0.020000, 7.499622e-07, 1.003234e-08, 0.491354, 0.491354, 0.503143, 1.462009e-08, 2000, 0, 0, 0, 0.000000
5939.981692, 0.020000, 7.499622e-07, 1.003234e-08, 0.503102, 0.503102, 0.509004, 1.462009e-08, 2000, 0, 0, 0, 0.000000
6110.003956, 0.020000, 7.499622e-07, 1.003234e-08, 0.494072, 0.494072, 0.507315, 1.462009e-08, 2000, 0, 0, 0, 0.000000
6280.026220, 0.020000, 7.499622e-07, 1.003234e-08, 0.503199, 0.503199, 0.498191, 1.462009e-08, 2000, 0, 0, 0, 0.000000
6450.048484, 0.020000, 7.499622e-07, 1.003234e-08, 0.502815, 0.502815, 0.494419, 1.462009e-08, 2000, 0, 0, 0, 0.000000
6620.070748, 0.020000, 7.499622e-07, 1.003234e-08, 0.501856, 0.501856, 0.505209, 1.462009e-08, 2000, 0, 0, 0, 0.000000
6790.093012, 0.020000, 7.499622e-07, 1.003234e-08, 0.492269, 0.492269, 0.503964, 1.462009e-08, 2000, 0, 0, 0, 0.000000
6960.115276, 0.020000, 7.499622e-07, 1.003234e-08, 0.491234, 0.491234, 0.504146, 1.462009e-08, 2000, 0, 0, 0, 0.000000
7130.137540, 0.020000, 7.499622e-07, 1.003234e-08, 0.497002, 0.497002, 0.510622, 1.462009e-08, 2000, 0, 0, 0, 0.000000
7300.159804, 0.020000, 7.499622e-07, 1.003234e-08, 0.503738, 0.503738, 0.495537, 1.462009e-08, 2000, 0, 0, 0, 0.000000
7470.182068, 0.020000, 7.499622e-07, 1.003234e-08, 0.505589, 0.505589, 0.498405, 1.462009e-08, 2000, 0, 0, 0, 0.000000
7640.204332, 0.020000, 7.499622e-07, 1.003234e-08, 0.491285, 0.491285, 0.502317, 1.462009e-08, 2000, 0, 0, 0, 0.000000
7810.226596, 0.020000, 7.499622e-07, 1.003234e-08, 0.497914, 0.497914, 0.502199, 1.462009e-08, 2000, 0, 0, 0, 0.000000
7980.248860, 0.020000, 7.499622e-07, 1.003234e-08, 0.488524, 0.488524, 0.502559, 1.462009e-08, 2000, 0, 0, 0, 0.000000
8150.271124, 0.020000, 7.499622e-07, 1.003234e-08, 0.498436, 0.498436, 0.508162, 1.462009e-08, 2000, 0, 0, 0, 0.000000
8320.293388, 0.020000, 7.499622e-07, 1.003234e-08, 0.496492, 0.496492, 0.501054, 1.462009e-08, 2000, 0, 0, 0, 0.000000
8490.315652, 0.020000, 7.499622e-07, 1.003234e-08, 0.493164, 0.493164, 0.504452, 1.462009e-08, 2000, 0, 0, 0, 0.000000
8660.337916, 0.020000, 7.499622e-07, 1.003234e-08, 0.498495, 0.498495, 0.498891, 1.462009e-08, 2000, 0, 0, 0, 0.000000
8830.360179, 0.020000, 7.499622e-07, 1.003234e-08, 0.492238, 0.492238, 0.501564, 1.462009e-08, 2000, 0, 0, 0, 0.000000
9000.382443, 0.020000, 7.499622e-07, 1.003234e-08, 0.499875, 0.499875, 0.498165, 1.462009e-08, 2000, 0, 0, 0, 0.000000
9170.404707, 0.020000, 7.499622e-07, 1.003234e-08, 0.503826, 0.503826, 0.515577, 1.462009e-08, 2000, 0, 0, 0, 0.000000
9340.426971, 0.020000, 7.499622e-07, 1.003234e-08, 0.497168, 0.497168, 0.498802, 1.462009e-08, 2000, 0, 0, 0, 0.000000
9510.449235, 0.020000, 7.499622e-07, 1.003234e-08, 0.505590, 0.505590, 0.497892, 1.462009e-08, 2000, 0, 0, 0, 0.000000
9680.471499, 0.020000, 7.499622e-07, 1.003234e-08, 0.498944, 0.498944, 0.504126, 1.462009e-08, 2000, 0, 0, 0, 0.000000
9850.493763, 0.020000, 7.499622e-07, 1.003234e-08, 0.490804, 0.490804, 0.500855, 1.462009e-08, 2000, 0, 0, 0, 0.000000
10020.516027, 0.020000, 7.499622e-07, 1.003234e-08, 0.498765, 0.498765, 0.499306, 1.462009e-08, 2000, 0, 0, 0, 0.000000
10190.538291, 0.020000, 7.499622e-07, 1.003234e-08, 0.493998, 0.493998, 0.518390, 1.462009e-08, 2000, 0, 0, 0, 0.000000
10360.560555, 0.020000, 7.499622e-07, 1.003234e-08, 0.496942, 0.496942, 0.487935, 1.462009e-08, 2000, 0, 0, 0, 0.000000
10530.582819, 0.020000, 7.499622e-07, 1.003234e-08, 0.496523, 0.496523, 0.490612, 1.462009e-08, 2000, 0, 0, 0, 0.000000
10700.605083, 0.020000, 7.499622e-07, 1.003234e-08, 0.500185, 0.500185, 0.492876, 1.462009e-08, 2000, 0, 0, 0, 0.000000
10870.627347, 0.020000, 7.499622e-07, 1.003234e-08, 0.486436, 0.486436, 0.484955, 1.462009e-08, 2000, 0, 0, 0, 0.000000
11040.649611, 0.020000, 7.499622e-07, 1.003234e-08, 0.506274, 0.506274, 0.498700, 1.462009e-08, 2000, 0, 0, 0, 0.000000
11210.671875, 0.020000, 7.499622e-07, 1.003234e-08, 0.498867, 0.498867, 0.497386, 1.462009e-08, 2000, 0, 0, 0, 0.000000
11380.694139, 0.020000, 7.499622e-07, 1.003234e-08, 0.498201, 0.498201, 0.496831, 1.462009e-08, 2000, 0, 0, 0, 0.000000
11550.716403, 0.020000, 7.499622e-07, 1.003234e-08, 0.504559, 0.504559, 0.494012, 1.462009e-08, 2000, 0, 0, 0, 0.000000
11720.738667, 0.020000, 7.499622e-07, 1.003234e-08, 0.497719, 0.497719, 0.497946, 1.462009e-08, 2000, 0, 0, 0, 0.000000
11890.760931, 0.020000, 7.499622e-07, 1.003234e-08, 0.500386, 0.500386, 0.508528, 1.462009e-08, 2000, 0, 0, 0, 0.000000
12060.783195, 0.020000, 7.499622e-07, 1.003234e-08, 0.490863, 0.490863, 0.500621, 1.462009e-08, 2000, 0, 0, 0, 0.000000
12230.805459, 0.020000, 7.499622e-07, 1.003234e-08, 0.509141, 0.509141, 0.494861, 1.462009e-08, 2000, 0, 0, 0, 0.000000
12400.827723, 0.020000, 7.499622e-07, 1.003234e-08, 0.501263, 0.501263, 0.501252, 1.462009e-08, 2000, 0, 0, 0, 0.000000
12570.849987, 0.020000, 7.499622e-07, 1.003234e-08, 0.507214, 0.507214, 0.506152, 1.462009e-08, 2000, 0, 0, 0, 0.000000
12740.872251, 0.020000, 7.499622e-07, 1.003234e-08, 0.497275, 0.497275, 0.506080, 1.462009e-08, 2000, 0, 0, 0, 0.000000
12910.894515, 0.020000, 7.499622e-07, 1.003234e-08, 0.498458, 0.498458, 0.508802, 1.462009e-08, 2000, 0, 0, 0, 0.000000
13080.916779, 0.020000, 7.499622e-07, 1.003234e-08, 0.498548, 0.498548, 0.507765, 1.462009e-08, 2000, 0, 0, 0, 0.000000
13250.939043, 0.020000, 7.499622e-07, 1.003234e-08, 0.498548, 0.498548, 0.487946, 1.462009e-08, 2000, 0, 0, 0, 0.000000
13420.961307, 0.020000, 7.499622e-07, 1.003234e-08, 0.495032, 0.495032, 0.492668, 1.462009e-08, 2000, 0, 0, 0, 0.000000
13590.983571, 0.020000, 7.499622e-07, 1.003234e-08, 0.499482, 0.499482, 0.495036, 1.462009e-08, 2000, 0, 0, 0, 0.000000
13761.005835, 0.020000, 7.499622e-07, 1.003234e-08, 0.493335, 0.493335, 0.504941, 1.462009e-08, 2000, 0, 0, 0, 0.000000
13931.028099, 0.020000, 7.499622e-07, 1.003234e-08, 0.496969, 0.496969, 0.496660, 1.462009e-08, 2000, 0, 0, 0, 0.000000
14101.050363, 0.020000, 7.499622e-07, 1.003234e-08, 0.496968, 0.496968, 0.497910, 1.462009e-08, 2000, 0, 0, 0, 0.000000
14271.072626, 0.020000, 7.499622e-07, 1.003234e-08, 0.503418, 0.503418, 0.499783, 1.462009e-08, 2000, 0, 0, 0, 0.000000
14441.094890, 0.020000, 7.499622e-07, 1.003234e-08, 0.504222, 0.504222, 0.495802, 1.462009e-08, 2000, 0, 0, 0, 0.000000
14611.117154, 0.020000, 7.499622e-07, 1.003234e-08, 0.490317, 0.490317, 0.506636, 1.462009e-08, 2000, 0, 0, 0, 0.000000
14781.139418, 0.020000, 7.499622e-07, 1.003234e-08, 0.511453, 0.511453, 0.490413, 1.462009e-08, 2000, 0, 0, 0, 0.000000
14951.161682, 0.020000, 7.499622e-07, 1.003234e-08, 0.502225, 0.502225, 0.495504, 1.462009e-08, 2000, 0, 0, 0, 0.000000
15121.183946, 0.020000, 7.499622e-07, 1.003234e-08, 0.506706, 0.506706, 0.498475, 1.462009e-08, 2000, 0, 0, 0, 0.000000
15291.206210, 0.020000, 7.499622e-07, 1.003234e-08, 0.499170, 0.499170, 0.497933, 1.462009e-08, 2000, 0, 0, 0, 0.000000
15461.228474, 0.020000, 7.499622e-07, 1.003234e-08, 0.496800, 0.496800, 0.506443, 1.462009e-08, 2000, 0, 0, 0, 0.000000
15631.250738, 0.020000, 7.499622e-07, 1.003234e-08, 0.488176, 0.488176, 0.507043, 1.462009e-08, 2000, 0, 0, 0, 0.000000
15801.273002, 0.020000, 7.499622e-07, 1.003234e-08, 0.505296, 0.505296, 0.501164, 1.462009e-08, 2000, 0, 0, 0, 0.000000
15971.295266, 0.020000, 7.499622e-07, 1.003234e-08, 0.490820, 0.490820, 0.497127, 1.462009e-08, 2000, 0, 0, 0, 0.000000
16141.317530, 0.020000, 7.499622e-07, 1.003234e-08, 0.494721, 0.494721, 0.489883, 1.462009e-08, 2000, 0, 0, 0, 0.000000
16311.339794, 0.020000, 7.499622e-07, 1.003234e-08, 0.501275, 0.501275, 0.499834, 1.462009e-08, 2000, 0, 0, 0, 0.000000
16481.362058, 0.020000, 7.499622e-07, 1.003234e-08, 0.497600, 0.497600, 0.504461, 1.462009e-08, 2000, 0, 0, 0, 0.000000
16651.384322, 0.020000, 7.499622e-07, 1.003234e-08, 0.506379, 0.506379, 0.494753, 1.462009e-08, 2000, 0, 0, 0, 0.000000
16821.406586, 0.020000, 7.499622e-07, 1.003234e-08, 0.501892, 0.501892, 0.509491, 1.462009e-08, 2000, 0, 0, 0, 0.000000
16991.428850, 0.020000, 7.499622e-07, 1.003234e-08, 0.494538, 0.494538, 0.500801, 1.462009e-08, 2000, 0, 0, 0, 0.000000
