Clock, Solids Loading, Box Size, AAR, RT Clock, Not accounted for, CheckForPolymerTangles, Stage One, Stage Two, RunSimulation, CalcParticleBrownianMotion, CalcPolymerBrownianMotion, NudgeParticles
0.000000, 0.020000, 7.482204e-07, 1.000000e-08,     2.4,     0.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     2.3
169.010560, 0.020000, 7.483451e-07, 1.000231e-08,     8.0,    -0.2,     0.0,     0.0,     0.0,     3.6,     0.0,     0.0,     4.6
338.099412, 0.020000, 7.484697e-07, 1.000462e-08,    13.9,    -0.4,     0.0,     0.0,     0.0,     7.4,     0.0,     0.0,     6.8
507.266555, 0.020000, 7.485943e-07, 1.000693e-08,    20.5,    -1.1,     0.0,     0.0,     0.0,    11.5,     0.1,     0.0,    10.0
676.427537, 0.020000, 7.485943e-07, 1.000693e-08,    26.3,    -0.9,     0.0,     0.0,     0.0,    14.9,     0.1,     0.0,    12.3
845.672973, 0.020000, 7.487189e-07, 1.000924e-08,    32.9,    -1.2,     0.0,     0.0,     0.0,    18.6,     0.1,     0.0,    15.3
1014.996701, 0.020000, 7.488434e-07, 1.001155e-08,    39.3,    -1.4,     0.0,     0.0,     0.0,    22.5,     0.1,     0.0,    18.1
1184.398723, 0.020000, 7.489679e-07, 1.001386e-08,    45.7,    -1.7,     0.0,     0.0,     0.0,    26.5,     0.2,     0.0,    20.8
1353.879038, 0.020000, 7.490923e-07, 1.001617e-08,    52.6,    -2.4,     0.0,     0.0,     0.0,    30.9,     0.2,     0.0,    23.9
1523.437648, 0.020000, 7.492167e-07, 1.001848e-08,    59.4,    -2.6,     0.0,     0.0,     0.0,    34.8,     0.2,     0.0,    27.0
1692.990114, 0.020000, 7.492167e-07, 1.001848e-08,    65.5,    -2.5,     0.0,     0.0,     0.0,    38.5,     0.2,     0.0,    29.3
1862.627018, 0.020000, 7.493410e-07, 1.002079e-08,    71.9,    -2.7,     0.0,     0.0,     0.0,    42.3,     0.2,     0.0,    32.0
2032.257782, 0.020000, 7.493410e-07, 1.002079e-08,    77.8,    -2.6,     0.0,     0.0,     0.0,    45.7,     0.3,     0.0,    34.4
2201.888547, 0.020000, 7.493410e-07, 1.002079e-08,    83.4,    -2.4,     0.0,     0.0,     0.0,    49.1,     0.3,     0.0,    36.5
2371.519311, 0.020000, 7.493410e-07, 1.002079e-08,    88.8,    -2.3,     0.0,     0.0,     0.0,    52.4,     0.3,     0.0,    38.4
2541.150075, 0.020000, 7.493410e-07, 1.002079e-08,    94.6,    -2.1,     0.0,     0.0,     0.0,    55.8,     0.3,     0.0,    40.6
2710.780839, 0.020000, 7.493410e-07, 1.002079e-08,   100.6,    -1.9,     0.0,     0.0,     0.0,    59.1,     0.3,     0.0,    43.1
2880.496039, 0.020000, 7.494653e-07, 1.002310e-08,   107.3,    -3.0,     0.0,     0.0,     0.0,    63.5,     0.4,     0.0,    46.4
3050.289534, 0.020000, 7.495896e-07, 1.002541e-08,   113.4,    -3.2,     0.0,     0.0,     0.0,    67.4,     0.4,     0.0,    48.7
3220.161326, 0.020000, 7.497138e-07, 1.002772e-08,   120.4,    -3.8,     0.0,     0.0,     0.0,    71.5,     0.4,     0.0,    52.3
3390.026989, 0.020000, 7.497138e-07, 1.002772e-08,   125.8,    -3.7,     0.0,     0.0,     0.0,    74.9,     0.4,     0.0,    54.2
3559.892651, 0.020000, 7.497138e-07, 1.002772e-08,   130.8,    -3.5,     0.0,     0.0,     0.0,    78.1,     0.5,     0.0,    55.7
3729.758314, 0.020000, 7.497138e-07, 1.002772e-08,   136.4,    -3.3,     0.0,     0.0,     0.0,    81.5,     0.5,     0.0,    57.7
3899.708402, 0.020000, 7.498380e-07, 1.003003e-08,   142.1,    -3.6,     0.0,     0.0,     0.0,    85.3,     0.5,     0.0,    59.9
4069.736788, 0.020000, 7.499622e-07, 1.003234e-08,   148.2,    -3.9,     0.0,     0.0,     0.0,    89.0,     0.5,     0.0,    62.6
