Clock, Solids Loading, Box Size, AAR, Fluid Viscosity, Bins per Dimension, Polymers per Bin
0.000000, 0.020000, 7.482204e-07, 1.000000e-08, 8.900000e-03, 2, 0.000000
169.010560, 0.020000, 7.483451e-07, 1.000231e-08, 8.900000e-03, 2, 0.000000
338.099412, 0.020000, 7.484697e-07, 1.000462e-08, 8.900000e-03, 2, 0.000000
507.266555, 0.020000, 7.485943e-07, 1.000693e-08, 8.900000e-03, 2, 0.000000
676.427537, 0.020000, 7.485943e-07, 1.000693e-08, 8.900000e-03, 2, 0.000000
845.672973, 0.020000, 7.487189e-07, 1.000924e-08, 8.900000e-03, 2, 0.000000
1014.996701, 0.020000, 7.488434e-07, 1.001155e-08, 8.900000e-03, 2, 0.000000
1184.398723, 0.020000, 7.489679e-07, 1.001386e-08, 8.900000e-03, 2, 0.000000
1353.879038, 0.020000, 7.490923e-07, 1.001617e-08, 8.900000e-03, 2, 0.000000
1523.437648, 0.020000, 7.492167e-07, 1.001848e-08, 8.900000e-03, 2, 0.000000
1692.990114, 0.020000, 7.492167e-07, 1.001848e-08, 8.900000e-03, 2, 0.000000
1862.627018, 0.020000, 7.493410e-07, 1.002079e-08, 8.900000e-03, 2, 0.000000
2032.257782, 0.020000, 7.493410e-07, 1.002079e-08, 8.900000e-03, 2, 0.000000
2201.888547, 0.020000, 7.493410e-07, 1.002079e-08, 8.900000e-03, 2, 0.000000
2371.519311, 0.020000, 7.493410e-07, 1.002079e-08, 8.900000e-03, 2, 0.000000
2541.150075, 0.020000, 7.493410e-07, 1.002079e-08, 8.900000e-03, 2, 0.000000
2710.780839, 0.020000, 7.493410e-07, 1.002079e-08, 8.900000e-03, 2, 0.000000
2880.496039, 0.020000, 7.494653e-07, 1.002310e-08, 8.900000e-03, 2, 0.000000
3050.289534, 0.020000, 7.495896e-07, 1.002541e-08, 8.900000e-03, 2, 0.000000
3220.161326, 0.020000, 7.497138e-07, 1.002772e-08, 8.900000e-03, 2, 0.000000
3390.026989, 0.020000, 7.497138e-07, 1.002772e-08, 8.900000e-03, 2, 0.000000
3559.892651, 0.020000, 7.497138e-07, 1.002772e-08, 8.900000e-03, 2, 0.000000
3729.758314, 0.020000, 7.497138e-07, 1.002772e-08, 8.900000e-03, 2, 0.000000
3899.708402, 0.020000, 7.498380e-07, 1.003003e-08, 8.900000e-03, 2, 0.000000
4069.736788, 0.020000, 7.499622e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
4239.759052, 0.020000, 7.499622e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
4409.781316, 0.020000, 7.499622e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
4579.803580, 0.020000, 7.499622e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
4749.825844, 0.020000, 7.499622e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
4919.848108, 0.020000, 7.499622e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
5089.870372, 0.020000, 7.499622e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
5259.892636, 0.020000, 7.499622e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
5429.914900, 0.020000, 7.499622e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
5599.937164, 0.020000, 7.499622e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
5769.959428, 0.020000, 7.499622e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
5939.981692, 0.020000, 7.499622e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
6110.003956, 0.020000, 7.499622e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
6280.026220, 0.020000, 7.499622e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
6450.048484, 0.020000, 7.499622e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
6620.070748, 0.020000, 7.499622e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
6790.093012, 0.020000, 7.499622e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
6960.115276, 0.020000, 7.499622e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
7130.137540, 0.020000, 7.499622e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
7300.159804, 0.020000, 7.499622e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
7470.182068, 0.020000, 7.499622e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
7640.204332, 0.020000, 7.499622e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
7810.226596, 0.020000, 7.499622e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
7980.248860, 0.020000, 7.499622e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
8150.271124, 0.020000, 7.499622e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
8320.293388, 0.020000, 7.499622e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
8490.315652, 0.020000, 7.499622e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
8660.337916, 0.020000, 7.499622e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
8830.360179, 0.020000, 7.499622e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
9000.382443, 0.020000, 7.499622e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
9170.404707, 0.020000, 7.499622e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
9340.426971, 0.020000, 7.499622e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
9510.449235, 0.020000, 7.499622e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
9680.471499, 0.020000, 7.499622e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
9850.493763, 0.020000, 7.499622e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
10020.516027, 0.020000, 7.499622e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
10190.538291, 0.020000, 7.499622e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
10360.560555, 0.020000, 7.499622e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
10530.582819, 0.020000, 7.499622e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
10700.605083, 0.020000, 7.499622e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
10870.627347, 0.020000, 7.499622e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
11040.649611, 0.020000, 7.499622e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
11210.671875, 0.020000, 7.499622e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
11380.694139, 0.020000, 7.499622e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
11550.716403, 0.020000, 7.499622e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
11720.738667, 0.020000, 7.499622e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
11890.760931, 0.020000, 7.499622e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
12060.783195, 0.020000, 7.499622e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
