Clock, Solids Loading, BoxSize, AAR, Iteration, Smallest Particle Radius, AAR, Largest Particle Radius, Max. Polymer Radius, Max. Tangle Radius, agglomerationsAccepted, agglomerationsRejected, particlesDidNotApproach, last Dim, last AAF, Radius of Gyration, Average approach prob, Average escape prob
0.000000, 0.020000, 7.482204e-07, 1.000000e-08, 0, 2.500000e-06, 1.000000e-08, 2.500000e-06, 0.000000e+00, 0.000000e+00, 0, 0, 0, 0.000000e+00, 0.000000e+00, 0.000000e+00,  0.00,  0.00
169.010560, 0.020000, 7.483451e-07, 1.000231e-08, 1, 1.000000e-08, 1.000231e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 1, 0, 0, 1.183358e-02, 1.239829e-27, 0.000000e+00,  0.95,  0.00
338.099412, 0.020000, 7.484697e-07, 1.000462e-08, 2, 1.000000e-08, 1.000462e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 2, 0, 0, 1.182810e-02, 1.239874e-27, 0.000000e+00,  0.95,  0.00
507.266555, 0.020000, 7.485943e-07, 1.000693e-08, 3, 1.000000e-08, 1.000693e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 3, 0, 0, 1.182263e-02, 1.239920e-27, 0.000000e+00,  0.35,  0.00
676.427537, 0.020000, 7.485943e-07, 1.000693e-08, 4, 1.000000e-08, 1.000693e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 3, 1, 1, 1.182306e-02, 1.239965e-27, 0.000000e+00,  0.59,  0.00
845.672973, 0.020000, 7.487189e-07, 1.000924e-08, 5, 1.000000e-08, 1.000924e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 4, 1, 1, 1.181716e-02, 1.239965e-27, 0.000000e+00,  0.65,  0.00
1014.996701, 0.020000, 7.488434e-07, 1.001155e-08, 6, 1.000000e-08, 1.001155e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 5, 1, 1, 1.181169e-02, 1.240010e-27, 0.000000e+00,  0.69,  0.00
1184.398723, 0.020000, 7.489679e-07, 1.001386e-08, 7, 1.000000e-08, 1.001386e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 6, 1, 1, 1.180623e-02, 1.240055e-27, 0.000000e+00,  0.70,  0.00
1353.879038, 0.020000, 7.490923e-07, 1.001617e-08, 8, 1.000000e-08, 1.001617e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 7, 1, 1, 1.180078e-02, 1.240100e-27, 0.000000e+00,  0.71,  0.00
1523.437648, 0.020000, 7.492167e-07, 1.001848e-08, 9, 1.000000e-08, 1.001848e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 8, 1, 1, 1.179533e-02, 1.240145e-27, 0.000000e+00,  0.72,  0.00
1692.990114, 0.020000, 7.492167e-07, 1.001848e-08, 10, 1.000000e-08, 1.001848e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 8, 2, 2, 1.179576e-02, 1.240190e-27, 0.000000e+00,  0.43,  0.00
1862.627018, 0.020000, 7.493410e-07, 1.002079e-08, 11, 1.000000e-08, 1.002079e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 9, 2, 2, 1.178989e-02, 1.240190e-27, 0.000000e+00,  0.61,  0.00
2032.257782, 0.020000, 7.493410e-07, 1.002079e-08, 12, 1.000000e-08, 1.002079e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 9, 3, 3, 1.179031e-02, 1.240235e-27, 0.000000e+00,  0.34,  0.00
2201.888547, 0.020000, 7.493410e-07, 1.002079e-08, 13, 1.000000e-08, 1.002079e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 9, 4, 4, 1.179031e-02, 1.240235e-27, 0.000000e+00,  0.41,  0.00
2371.519311, 0.020000, 7.493410e-07, 1.002079e-08, 14, 1.000000e-08, 1.002079e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 9, 5, 5, 1.179031e-02, 1.240235e-27, 0.000000e+00,  0.03,  0.00
2541.150075, 0.020000, 7.493410e-07, 1.002079e-08, 15, 1.000000e-08, 1.002079e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 9, 6, 6, 1.179031e-02, 1.240235e-27, 0.000000e+00,  0.41,  0.00
2710.780839, 0.020000, 7.493410e-07, 1.002079e-08, 16, 1.000000e-08, 1.002079e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 9, 7, 7, 1.179031e-02, 1.240235e-27, 0.000000e+00,  0.60,  0.00
2880.496039, 0.020000, 7.494653e-07, 1.002310e-08, 17, 1.000000e-08, 1.002310e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 10, 7, 7, 1.178445e-02, 1.240235e-27, 0.000000e+00,  0.67,  0.00
3050.289534, 0.020000, 7.495896e-07, 1.002541e-08, 18, 1.000000e-08, 1.002541e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 11, 7, 7, 1.177901e-02, 1.240280e-27, 0.000000e+00,  0.61,  0.00
3220.161326, 0.020000, 7.497138e-07, 1.002772e-08, 19, 1.000000e-08, 1.002772e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 12, 7, 7, 1.177359e-02, 1.240325e-27, 0.000000e+00,  0.66,  0.00
3390.026989, 0.020000, 7.497138e-07, 1.002772e-08, 20, 1.000000e-08, 1.002772e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 12, 8, 8, 1.177401e-02, 1.240369e-27, 0.000000e+00,  0.68,  0.00
