Clock, Solids Loading, Box Size, AAR, average X Loc, average Y Loc, average Z Loc, Largest Particle Radius, lengthOfSubparticleList, Total Ellipsoids that Merged, Max. WillFit retries, maxLenNpHoldAreClose, Viscosity Scaler
0.000000, 0.020000, 7.482204e-07, 1.000000e-08, 0.494369, 0.494369, 0.501116, 2.500000e-06, 2000, 0, 0, 0, 0.000000
169.010560, 0.020000, 7.483451e-07, 1.000231e-08, 0.497517, 0.497517, 0.494896, 1.462009e-08, 2000, 0, 0, 0, 0.000000
338.099412, 0.020000, 7.484697e-07, 1.000462e-08, 0.504703, 0.504703, 0.486071, 1.462009e-08, 2000, 0, 0, 0, 0.000000
507.266555, 0.020000, 7.485943e-07, 1.000693e-08, 0.488373, 0.488373, 0.493494, 1.462009e-08, 2000, 0, 0, 0, 0.000000
676.427537, 0.020000, 7.485943e-07, 1.000693e-08, 0.490119, 0.490119, 0.494739, 1.462009e-08, 2000, 0, 0, 0, 0.000000
845.672973, 0.020000, 7.487189e-07, 1.000924e-08, 0.494179, 0.494179, 0.491632, 1.462009e-08, 2000, 0, 0, 0, 0.000000
1014.996701, 0.020000, 7.488434e-07, 1.001155e-08, 0.499961, 0.499961, 0.493759, 1.462009e-08, 2000, 0, 0, 0, 0.000000
1184.398723, 0.020000, 7.489679e-07, 1.001386e-08, 0.494004, 0.494004, 0.504991, 1.462009e-08, 2000, 0, 0, 0, 0.000000
1353.794594, 0.020000, 7.489679e-07, 1.001386e-08, 0.497033, 0.497033, 0.484221, 1.462009e-08, 2000, 0, 0, 0, 0.000000
1523.274909, 0.020000, 7.490923e-07, 1.001617e-08, 0.495404, 0.495404, 0.509052, 1.462009e-08, 2000, 0, 0, 0, 0.000000
1692.833519, 0.020000, 7.492167e-07, 1.001848e-08, 0.506599, 0.506599, 0.501006, 1.462009e-08, 2000, 0, 0, 0, 0.000000
1862.385985, 0.020000, 7.492167e-07, 1.001848e-08, 0.504558, 0.504558, 0.493689, 1.462009e-08, 2000, 0, 0, 0, 0.000000
2031.938450, 0.020000, 7.492167e-07, 1.001848e-08, 0.492363, 0.492363, 0.500902, 1.462009e-08, 2000, 0, 0, 0, 0.000000
2201.490916, 0.020000, 7.492167e-07, 1.001848e-08, 0.499375, 0.499375, 0.519154, 1.462009e-08, 2000, 0, 0, 0, 0.000000
2371.043382, 0.020000, 7.492167e-07, 1.001848e-08, 0.488703, 0.488703, 0.500222, 1.462009e-08, 2000, 0, 0, 0, 0.000000
2540.680287, 0.020000, 7.493410e-07, 1.002079e-08, 0.496931, 0.496931, 0.507412, 1.462009e-08, 2000, 0, 0, 0, 0.000000
2710.395486, 0.020000, 7.494653e-07, 1.002310e-08, 0.498599, 0.498599, 0.503456, 1.462009e-08, 2000, 0, 0, 0, 0.000000
2880.104549, 0.020000, 7.494653e-07, 1.002310e-08, 0.504777, 0.504777, 0.502251, 1.462009e-08, 2000, 0, 0, 0, 0.000000
3049.898045, 0.020000, 7.495896e-07, 1.002541e-08, 0.497089, 0.497089, 0.500071, 1.462009e-08, 2000, 0, 0, 0, 0.000000
3219.769837, 0.020000, 7.497138e-07, 1.002772e-08, 0.502511, 0.502511, 0.497208, 1.462009e-08, 2000, 0, 0, 0, 0.000000
3389.635499, 0.020000, 7.497138e-07, 1.002772e-08, 0.497898, 0.497898, 0.507703, 1.462009e-08, 2000, 0, 0, 0, 0.000000
3559.501161, 0.020000, 7.497138e-07, 1.002772e-08, 0.495799, 0.495799, 0.499965, 1.462009e-08, 2000, 0, 0, 0, 0.000000
3729.366824, 0.020000, 7.497138e-07, 1.002772e-08, 0.506050, 0.506050, 0.500454, 1.462009e-08, 2000, 0, 0, 0, 0.000000
3899.316913, 0.020000, 7.498380e-07, 1.003003e-08, 0.501621, 0.501621, 0.499788, 1.462009e-08, 2000, 0, 0, 0, 0.000000
4069.345299, 0.020000, 7.499622e-07, 1.003234e-08, 0.493903, 0.493903, 0.493947, 1.462009e-08, 2000, 0, 0, 0, 0.000000
4239.367563, 0.020000, 7.499622e-07, 1.003234e-08, 0.503713, 0.503713, 0.511694, 1.462009e-08, 2000, 0, 0, 0, 0.000000
4409.389827, 0.020000, 7.499622e-07, 1.003234e-08, 0.500738, 0.500738, 0.495774, 1.462009e-08, 2000, 0, 0, 0, 0.000000
4579.412091, 0.020000, 7.499622e-07, 1.003234e-08, 0.496423, 0.496423, 0.491738, 1.462009e-08, 2000, 0, 0, 0, 0.000000
4749.518775, 0.020000, 7.500863e-07, 1.003340e-08, 0.502938, 0.502938, 0.499526, 1.673582e-08, 2000, 0, 0, 0, 0.000000
4919.620171, 0.020000, 7.500863e-07, 1.003340e-08, 0.506657, 0.506657, 0.495852, 1.673582e-08, 2000, 0, 0, 0, 0.000000
5089.805985, 0.020000, 7.502103e-07, 1.003571e-08, 0.514868, 0.514868, 0.501671, 1.673582e-08, 2000, 0, 0, 0, 0.000000
5260.070094, 0.020000, 7.503344e-07, 1.003802e-08, 0.500996, 0.500996, 0.500251, 1.673582e-08, 2000, 0, 0, 0, 0.000000
5430.328089, 0.020000, 7.503344e-07, 1.003802e-08, 0.503227, 0.503227, 0.508031, 1.673582e-08, 2000, 0, 0, 0, 0.000000
5600.586083, 0.020000, 7.503344e-07, 1.003802e-08, 0.500985, 0.500985, 0.496053, 1.673582e-08, 2000, 0, 0, 0, 0.000000
5770.928488, 0.020000, 7.504583e-07, 1.004033e-08, 0.499366, 0.499366, 0.499787, 1.673582e-08, 2000, 0, 0, 0, 0.000000
5941.349191, 0.020000, 7.505823e-07, 1.004264e-08, 0.489174, 0.489174, 0.497958, 1.673582e-08, 2000, 0, 0, 0, 0.000000
6111.848190, 0.020000, 7.507062e-07, 1.004495e-08, 0.487295, 0.487295, 0.493470, 1.673582e-08, 2000, 0, 0, 0, 0.000000
6282.341086, 0.020000, 7.507062e-07, 1.004495e-08, 0.494979, 0.494979, 0.490812, 1.673582e-08, 2000, 0, 0, 0, 0.000000
6452.918383, 0.020000, 7.508300e-07, 1.004726e-08, 0.494155, 0.494155, 0.503099, 1.673582e-08, 2000, 0, 0, 0, 0.000000
6623.489580, 0.020000, 7.508300e-07, 1.004726e-08, 0.498732, 0.498732, 0.500543, 1.673582e-08, 2000, 0, 0, 0, 0.000000
6794.060777, 0.020000, 7.508300e-07, 1.004726e-08, 0.506100, 0.506100, 0.503465, 1.673582e-08, 2000, 0, 0, 0, 0.000000
6964.631974, 0.020000, 7.508300e-07, 1.004726e-08, 0.501673, 0.501673, 0.498964, 1.673582e-08, 2000, 0, 0, 0, 0.000000
7135.287570, 0.020000, 7.509539e-07, 1.004832e-08, 0.499335, 0.499335, 0.495215, 1.673582e-08, 2000, 0, 0, 0, 0.000000
7305.937878, 0.020000, 7.509539e-07, 1.004832e-08, 0.501909, 0.501909, 0.507298, 1.673582e-08, 2000, 0, 0, 0, 0.000000
7476.588185, 0.020000, 7.509539e-07, 1.004832e-08, 0.497523, 0.497523, 0.500211, 1.673582e-08, 2000, 0, 0, 0, 0.000000
7647.322889, 0.020000, 7.510776e-07, 1.005063e-08, 0.498157, 0.498157, 0.496273, 1.673582e-08, 2000, 0, 0, 0, 0.000000
7818.051495, 0.020000, 7.510776e-07, 1.005063e-08, 0.487426, 0.487426, 0.504685, 1.673582e-08, 2000, 0, 0, 0, 0.000000
7988.864495, 0.020000, 7.512014e-07, 1.005294e-08, 0.495827, 0.495827, 0.513166, 1.673582e-08, 2000, 0, 0, 0, 0.000000
8159.755792, 0.020000, 7.513251e-07, 1.005525e-08, 0.499168, 0.499168, 0.504496, 1.673582e-08, 2000, 0, 0, 0, 0.000000
8330.725387, 0.020000, 7.514487e-07, 1.005630e-08, 0.496345, 0.496345, 0.509346, 1.673582e-08, 2000, 0, 0, 0, 0.000000
8501.689691, 0.020000, 7.514487e-07, 1.005630e-08, 0.517550, 0.517550, 0.503163, 1.673582e-08, 2000, 0, 0, 0, 0.000000
8672.738380, 0.020000, 7.515723e-07, 1.005861e-08, 0.496936, 0.496936, 0.501569, 1.673582e-08, 2000, 0, 0, 0, 0.000000
8843.865365, 0.020000, 7.516959e-07, 1.006092e-08, 0.506122, 0.506122, 0.506627, 1.673582e-08, 2000, 0, 0, 0, 0.000000
9015.070645, 0.020000, 7.518194e-07, 1.006323e-08, 0.497693, 0.497693, 0.499564, 1.673582e-08, 2000, 0, 0, 0, 0.000000
9186.269846, 0.020000, 7.518194e-07, 1.006323e-08, 0.508641, 0.508641, 0.507630, 1.673582e-08, 2000, 0, 0, 0, 0.000000
9357.469047, 0.020000, 7.518194e-07, 1.006323e-08, 0.503662, 0.503662, 0.504116, 1.673582e-08, 2000, 0, 0, 0, 0.000000
9528.752624, 0.020000, 7.519429e-07, 1.006554e-08, 0.515772, 0.515772, 0.493902, 1.673582e-08, 2000, 0, 0, 0, 0.000000
9700.114498, 0.020000, 7.520664e-07, 1.006785e-08, 0.502493, 0.502493, 0.503639, 1.673582e-08, 2000, 0, 0, 0, 0.000000
9871.470301, 0.020000, 7.520664e-07, 1.006785e-08, 0.499383, 0.499383, 0.500647, 1.673582e-08, 2000, 0, 0, 0, 0.000000
10042.910473, 0.020000, 7.521898e-07, 1.007016e-08, 0.513480, 0.513480, 0.504686, 1.673582e-08, 2000, 0, 0, 0, 0.000000
10214.344577, 0.020000, 7.521898e-07, 1.007016e-08, 0.501932, 0.501932, 0.496968, 1.673582e-08, 2000, 0, 0, 0, 0.000000
10385.778681, 0.020000, 7.521898e-07, 1.007016e-08, 0.499200, 0.499200, 0.501757, 1.673582e-08, 2000, 0, 0, 0, 0.000000
10557.297152, 0.020000, 7.523132e-07, 1.007247e-08, 0.504094, 0.504094, 0.492358, 1.673582e-08, 2000, 0, 0, 0, 0.000000
10728.809558, 0.020000, 7.523132e-07, 1.007247e-08, 0.508321, 0.508321, 0.505163, 1.673582e-08, 2000, 0, 0, 0, 0.000000
10900.321964, 0.020000, 7.523132e-07, 1.007247e-08, 0.503625, 0.503625, 0.502982, 1.673582e-08, 2000, 0, 0, 0, 0.000000
11071.834371, 0.020000, 7.523132e-07, 1.007247e-08, 0.500430, 0.500430, 0.497886, 1.673582e-08, 2000, 0, 0, 0, 0.000000
11243.346777, 0.020000, 7.523132e-07, 1.007247e-08, 0.495377, 0.495377, 0.505466, 1.673582e-08, 2000, 0, 0, 0, 0.000000
11414.859183, 0.020000, 7.523132e-07, 1.007247e-08, 0.489955, 0.489955, 0.499152, 1.673582e-08, 2000, 0, 0, 0, 0.000000
11586.371589, 0.020000, 7.523132e-07, 1.007247e-08, 0.508635, 0.508635, 0.504015, 1.673582e-08, 2000, 0, 0, 0, 0.000000
11757.883996, 0.020000, 7.523132e-07, 1.007247e-08, 0.499242, 0.499242, 0.502228, 1.673582e-08, 2000, 0, 0, 0, 0.000000
11929.396402, 0.020000, 7.523132e-07, 1.007247e-08, 0.492565, 0.492565, 0.509550, 1.673582e-08, 2000, 0, 0, 0, 0.000000
12100.908808, 0.020000, 7.523132e-07, 1.007247e-08, 0.491314, 0.491314, 0.497242, 1.673582e-08, 2000, 0, 0, 0, 0.000000
12272.421214, 0.020000, 7.523132e-07, 1.007247e-08, 0.504185, 0.504185, 0.494701, 1.673582e-08, 2000, 0, 0, 0, 0.000000
12443.933621, 0.020000, 7.523132e-07, 1.007247e-08, 0.491196, 0.491196, 0.500148, 1.673582e-08, 2000, 0, 0, 0, 0.000000
12615.530391, 0.020000, 7.524365e-07, 1.007478e-08, 0.502339, 0.502339, 0.509107, 1.673582e-08, 2000, 0, 0, 0, 0.000000
12787.121101, 0.020000, 7.524365e-07, 1.007478e-08, 0.500054, 0.500054, 0.504555, 1.673582e-08, 2000, 0, 0, 0, 0.000000
12958.711810, 0.020000, 7.524365e-07, 1.007478e-08, 0.500266, 0.500266, 0.506370, 1.673582e-08, 2000, 0, 0, 0, 0.000000
13130.302519, 0.020000, 7.524365e-07, 1.007478e-08, 0.500851, 0.500851, 0.488509, 1.673582e-08, 2000, 0, 0, 0, 0.000000
13301.893229, 0.020000, 7.524365e-07, 1.007478e-08, 0.492132, 0.492132, 0.498467, 1.673582e-08, 2000, 0, 0, 0, 0.000000
13473.483938, 0.020000, 7.524365e-07, 1.007478e-08, 0.488680, 0.488680, 0.503937, 1.673582e-08, 2000, 0, 0, 0, 0.000000
13645.074648, 0.020000, 7.524365e-07, 1.007478e-08, 0.500709, 0.500709, 0.499459, 1.673582e-08, 2000, 0, 0, 0, 0.000000
13816.665357, 0.020000, 7.524365e-07, 1.007478e-08, 0.510794, 0.510794, 0.504491, 1.673582e-08, 2000, 0, 0, 0, 0.000000
13988.256066, 0.020000, 7.524365e-07, 1.007478e-08, 0.495844, 0.495844, 0.496767, 1.673582e-08, 2000, 0, 0, 0, 0.000000
14159.846776, 0.020000, 7.524365e-07, 1.007478e-08, 0.505726, 0.505726, 0.505355, 1.673582e-08, 2000, 0, 0, 0, 0.000000
14331.437485, 0.020000, 7.524365e-07, 1.007478e-08, 0.504780, 0.504780, 0.500398, 1.673582e-08, 2000, 0, 0, 0, 0.000000
14503.028195, 0.020000, 7.524365e-07, 1.007478e-08, 0.499345, 0.499345, 0.491260, 1.673582e-08, 2000, 0, 0, 0, 0.000000
14674.618904, 0.020000, 7.524365e-07, 1.007478e-08, 0.505000, 0.505000, 0.500386, 1.673582e-08, 2000, 0, 0, 0, 0.000000
14846.209613, 0.020000, 7.524365e-07, 1.007478e-08, 0.504086, 0.504086, 0.493690, 1.673582e-08, 2000, 0, 0, 0, 0.000000
15017.800323, 0.020000, 7.524365e-07, 1.007478e-08, 0.499720, 0.499720, 0.500891, 1.673582e-08, 2000, 0, 0, 0, 0.000000
15189.391032, 0.020000, 7.524365e-07, 1.007478e-08, 0.502986, 0.502986, 0.491210, 1.673582e-08, 2000, 0, 0, 0, 0.000000
15360.981742, 0.020000, 7.524365e-07, 1.007478e-08, 0.497487, 0.497487, 0.493049, 1.673582e-08, 2000, 0, 0, 0, 0.000000
15532.572451, 0.020000, 7.524365e-07, 1.007478e-08, 0.503326, 0.503326, 0.505983, 1.673582e-08, 2000, 0, 0, 0, 0.000000
15704.163160, 0.020000, 7.524365e-07, 1.007478e-08, 0.502606, 0.502606, 0.487421, 1.673582e-08, 2000, 0, 0, 0, 0.000000
15875.753870, 0.020000, 7.524365e-07, 1.007478e-08, 0.497918, 0.497918, 0.491391, 1.673582e-08, 2000, 0, 0, 0, 0.000000
16047.344579, 0.020000, 7.524365e-07, 1.007478e-08, 0.500572, 0.500572, 0.508651, 1.673582e-08, 2000, 0, 0, 0, 0.000000
16218.935289, 0.020000, 7.524365e-07, 1.007478e-08, 0.499197, 0.499197, 0.492870, 1.673582e-08, 2000, 0, 0, 0, 0.000000
16390.525998, 0.020000, 7.524365e-07, 1.007478e-08, 0.501602, 0.501602, 0.494611, 1.673582e-08, 2000, 0, 0, 0, 0.000000
16562.116707, 0.020000, 7.524365e-07, 1.007478e-08, 0.511585, 0.511585, 0.500124, 1.673582e-08, 2000, 0, 0, 0, 0.000000
16733.707417, 0.020000, 7.524365e-07, 1.007478e-08, 0.484855, 0.484855, 0.505334, 1.673582e-08, 2000, 0, 0, 0, 0.000000
16905.298126, 0.020000, 7.524365e-07, 1.007478e-08, 0.508012, 0.508012, 0.500831, 1.673582e-08, 2000, 0, 0, 0, 0.000000
17076.888836, 0.020000, 7.524365e-07, 1.007478e-08, 0.491655, 0.491655, 0.505284, 1.673582e-08, 2000, 0, 0, 0, 0.000000
17248.479545, 0.020000, 7.524365e-07, 1.007478e-08, 0.496827, 0.496827, 0.492608, 1.673582e-08, 2000, 0, 0, 0, 0.000000
17420.070254, 0.020000, 7.524365e-07, 1.007478e-08, 0.491358, 0.491358, 0.495821, 1.673582e-08, 2000, 0, 0, 0, 0.000000
17591.660964, 0.020000, 7.524365e-07, 1.007478e-08, 0.499369, 0.499369, 0.495893, 1.673582e-08, 2000, 0, 0, 0, 0.000000
