Clock, Solids Loading, Box Size, AAR, Ellipsoid count, Ellipsoid VolFrac, Number of Captured Particles, Number of Tangles with Particles, Most Tangles in Ellipsoid
0.000000, 0.020000, 7.482204e-07, 1.000000e-08, 0, 0.000000, 0, 0, 0
169.010560, 0.020000, 7.483451e-07, 1.000231e-08, 0, 0.000000, 0, 0, 0
338.099412, 0.020000, 7.484697e-07, 1.000462e-08, 0, 0.000000, 0, 0, 0
507.182098, 0.020000, 7.484697e-07, 1.000462e-08, 0, 0.000000, 0, 0, 0
676.349242, 0.020000, 7.485943e-07, 1.000693e-08, 0, 0.000000, 0, 0, 0
845.594677, 0.020000, 7.487189e-07, 1.000924e-08, 0, 0.000000, 0, 0, 0
1014.833955, 0.020000, 7.487189e-07, 1.000924e-08, 0, 0.000000, 0, 0, 0
1184.157684, 0.020000, 7.488434e-07, 1.001155e-08, 0, 0.000000, 0, 0, 0
1353.559705, 0.020000, 7.489679e-07, 1.001386e-08, 0, 0.000000, 0, 0, 0
1523.040021, 0.020000, 7.490923e-07, 1.001617e-08, 0, 0.000000, 0, 0, 0
1692.514189, 0.020000, 7.490923e-07, 1.001617e-08, 0, 0.000000, 0, 0, 0
1862.072798, 0.020000, 7.492167e-07, 1.001848e-08, 0, 0.000000, 0, 0, 0
2031.709703, 0.020000, 7.493410e-07, 1.002079e-08, 0, 0.000000, 0, 0, 0
2201.340467, 0.020000, 7.493410e-07, 1.002079e-08, 0, 0.000000, 0, 0, 0
2371.055667, 0.020000, 7.494653e-07, 1.002310e-08, 0, 0.000000, 0, 0, 0
2540.849162, 0.020000, 7.495896e-07, 1.002541e-08, 0, 0.000000, 0, 0, 0
2710.720954, 0.020000, 7.497138e-07, 1.002772e-08, 0, 0.000000, 0, 0, 0
2880.586616, 0.020000, 7.497138e-07, 1.002772e-08, 0, 0.000000, 0, 0, 0
3050.536705, 0.020000, 7.498380e-07, 1.003003e-08, 0, 0.000000, 0, 0, 0
3220.480668, 0.020000, 7.498380e-07, 1.003003e-08, 0, 0.000000, 0, 0, 0
3390.424631, 0.020000, 7.498380e-07, 1.003003e-08, 0, 0.000000, 0, 0, 0
3560.368594, 0.020000, 7.498380e-07, 1.003003e-08, 0, 0.000000, 0, 0, 0
3730.312557, 0.020000, 7.498380e-07, 1.003003e-08, 0, 0.000000, 0, 0, 0
3900.340943, 0.020000, 7.499622e-07, 1.003234e-08, 0, 0.000000, 0, 0, 0
4070.447627, 0.020000, 7.500863e-07, 1.003465e-08, 0, 0.000000, 0, 0, 0
4240.548192, 0.020000, 7.500863e-07, 1.003465e-08, 0, 0.000000, 0, 0, 0
4410.733175, 0.020000, 7.502103e-07, 1.003696e-08, 0, 0.000000, 0, 0, 0
4580.996457, 0.020000, 7.503344e-07, 1.003927e-08, 0, 0.000000, 0, 0, 0
4751.253628, 0.020000, 7.503344e-07, 1.003927e-08, 0, 0.000000, 0, 0, 0
4921.595209, 0.020000, 7.504583e-07, 1.004158e-08, 0, 0.000000, 0, 0, 0
5091.930683, 0.020000, 7.504583e-07, 1.004158e-08, 0, 0.000000, 0, 0, 0
5262.266157, 0.020000, 7.504583e-07, 1.004158e-08, 0, 0.000000, 0, 0, 0
5432.686039, 0.020000, 7.505823e-07, 1.004389e-08, 0, 0.000000, 0, 0, 0
5603.099817, 0.020000, 7.505823e-07, 1.004389e-08, 0, 0.000000, 0, 0, 0
5773.513595, 0.020000, 7.505823e-07, 1.004389e-08, 0, 0.000000, 0, 0, 0
5944.011778, 0.020000, 7.507062e-07, 1.004620e-08, 0, 0.000000, 0, 0, 0
6114.503861, 0.020000, 7.507062e-07, 1.004620e-08, 0, 0.000000, 0, 0, 0
6284.995943, 0.020000, 7.507062e-07, 1.004620e-08, 0, 0.000000, 0, 0, 0
6455.488026, 0.020000, 7.507062e-07, 1.004620e-08, 0, 0.000000, 0, 0, 0
6626.064510, 0.020000, 7.508300e-07, 1.004851e-08, 0, 0.000000, 0, 0, 0
6796.634898, 0.020000, 7.508300e-07, 1.004851e-08, 0, 0.000000, 0, 0, 0
6967.205286, 0.020000, 7.508300e-07, 1.004851e-08, 0, 0.000000, 0, 0, 0
7137.775674, 0.020000, 7.508300e-07, 1.004851e-08, 0, 0.000000, 0, 0, 0
7308.346062, 0.020000, 7.508300e-07, 1.004851e-08, 0, 0.000000, 0, 0, 0
7479.000848, 0.020000, 7.509539e-07, 1.005082e-08, 0, 0.000000, 0, 0, 0
7649.649542, 0.020000, 7.509539e-07, 1.005082e-08, 0, 0.000000, 0, 0, 0
7820.298236, 0.020000, 7.509539e-07, 1.005082e-08, 0, 0.000000, 0, 0, 0
7990.946929, 0.020000, 7.509539e-07, 1.005082e-08, 0, 0.000000, 0, 0, 0
8161.595623, 0.020000, 7.509539e-07, 1.005082e-08, 0, 0.000000, 0, 0, 0
8332.244316, 0.020000, 7.509539e-07, 1.005082e-08, 0, 0.000000, 0, 0, 0
8502.893010, 0.020000, 7.509539e-07, 1.005082e-08, 0, 0.000000, 0, 0, 0
8673.541704, 0.020000, 7.509539e-07, 1.005082e-08, 0, 0.000000, 0, 0, 0
8844.274793, 0.020000, 7.510776e-07, 1.005313e-08, 0, 0.000000, 0, 0, 0
9015.001793, 0.020000, 7.510776e-07, 1.005313e-08, 0, 0.000000, 0, 0, 0
9185.813186, 0.020000, 7.512014e-07, 1.005544e-08, 0, 0.000000, 0, 0, 0
9356.618494, 0.020000, 7.512014e-07, 1.005544e-08, 0, 0.000000, 0, 0, 0
9527.423801, 0.020000, 7.512014e-07, 1.005544e-08, 0, 0.000000, 0, 0, 0
9698.313498, 0.020000, 7.513251e-07, 1.005775e-08, 0, 0.000000, 0, 0, 0
9869.281500, 0.020000, 7.514487e-07, 1.006006e-08, 0, 0.000000, 0, 0, 0
10040.327808, 0.020000, 7.515723e-07, 1.006237e-08, 0, 0.000000, 0, 0, 0
10211.368040, 0.020000, 7.515723e-07, 1.006237e-08, 0, 0.000000, 0, 0, 0
10382.492654, 0.020000, 7.516959e-07, 1.006468e-08, 0, 0.000000, 0, 0, 0
10553.611196, 0.020000, 7.516959e-07, 1.006468e-08, 0, 0.000000, 0, 0, 0
10724.729739, 0.020000, 7.516959e-07, 1.006468e-08, 0, 0.000000, 0, 0, 0
10895.848281, 0.020000, 7.516959e-07, 1.006468e-08, 0, 0.000000, 0, 0, 0
11066.966823, 0.020000, 7.516959e-07, 1.006468e-08, 0, 0.000000, 0, 0, 0
11238.085366, 0.020000, 7.516959e-07, 1.006468e-08, 0, 0.000000, 0, 0, 0
11409.203908, 0.020000, 7.516959e-07, 1.006468e-08, 0, 0.000000, 0, 0, 0
11580.322451, 0.020000, 7.516959e-07, 1.006468e-08, 0, 0.000000, 0, 0, 0
11751.525371, 0.020000, 7.518194e-07, 1.006699e-08, 0, 0.000000, 0, 0, 0
11922.806599, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
12094.081763, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
12265.356927, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
12436.632091, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
12607.907255, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
12779.182419, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
12950.457584, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
13121.732748, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
13293.007912, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
13464.283076, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
13635.558240, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
13806.833404, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
13978.108568, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
14149.383732, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
14320.658896, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
14491.934060, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
14663.209225, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
14834.484389, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
15005.759553, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
15177.034717, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
15348.309881, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
15519.585045, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
15690.860209, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
15862.135373, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
16033.410537, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
16204.685701, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
16375.960866, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
16547.236030, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
16718.511194, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
16889.786358, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
17061.061522, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
17232.336686, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
17403.611850, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
17574.887014, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
17746.162178, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
