Clock, Solids Loading, Box Size, AAR, RT Clock, Not accounted for, CheckForPolymerTangles, Stage One, Stage Two, RunSimulation, CalcParticleBrownianMotion, CalcPolymerBrownianMotion, NudgeParticles
0.000000, 0.020000, 7.482204e-07, 1.000000e-08,     4.1,     0.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     4.0
169.010560, 0.020000, 7.483451e-07, 1.000231e-08,    18.5,    -1.5,     0.0,     0.0,     0.0,     9.6,     0.0,     0.0,    10.4
338.099412, 0.020000, 7.484697e-07, 1.000462e-08,    30.4,    -2.8,     0.0,     0.0,     0.0,    17.6,     0.1,     0.0,    15.6
507.182098, 0.020000, 7.484697e-07, 1.000462e-08,    48.4,    -2.4,     0.0,     0.0,     0.0,    24.2,     0.1,     0.0,    26.5
676.349242, 0.020000, 7.485943e-07, 1.000693e-08,    79.7,    -5.4,     0.0,     0.0,     0.0,    45.1,     0.2,     0.0,    39.8
845.594677, 0.020000, 7.487189e-07, 1.000924e-08,   103.4,    -8.4,     0.0,     0.0,     0.0,    62.1,     0.3,     0.0,    49.5
1014.833955, 0.020000, 7.487189e-07, 1.000924e-08,   130.3,    -7.8,     0.0,     0.0,     0.0,    80.4,     0.4,     0.0,    57.3
1184.157684, 0.020000, 7.488434e-07, 1.001155e-08,   148.3,    -9.4,     0.0,     0.0,     0.0,    91.5,     0.4,     0.0,    65.7
1353.559705, 0.020000, 7.489679e-07, 1.001386e-08,   175.9,   -10.5,     0.0,     0.0,     0.0,   104.1,     0.5,     0.0,    81.7
1523.040021, 0.020000, 7.490923e-07, 1.001617e-08,   194.9,   -11.1,     0.0,     0.0,     0.0,   116.2,     0.5,     0.0,    89.3
1692.514189, 0.020000, 7.490923e-07, 1.001617e-08,   213.1,   -10.7,     0.0,     0.0,     0.0,   126.1,     0.6,     0.0,    97.2
1862.072798, 0.020000, 7.492167e-07, 1.001848e-08,   238.9,   -11.7,     0.0,     0.0,     0.0,   143.0,     0.6,     0.0,   107.0
2031.709703, 0.020000, 7.493410e-07, 1.002079e-08,   261.8,   -12.7,     0.0,     0.0,     0.0,   155.1,     0.7,     0.0,   118.7
2201.340467, 0.020000, 7.493410e-07, 1.002079e-08,   284.4,   -12.2,     0.0,     0.0,     0.0,   166.2,     0.7,     0.0,   129.7
2371.055667, 0.020000, 7.494653e-07, 1.002310e-08,   306.7,   -13.2,     0.0,     0.0,     0.0,   178.9,     0.8,     0.0,   140.2
2540.849162, 0.020000, 7.495896e-07, 1.002541e-08,   327.2,   -14.0,     0.0,     0.0,     0.0,   194.4,     0.8,     0.0,   146.0
2710.720954, 0.020000, 7.497138e-07, 1.002772e-08,   344.3,   -15.4,     0.0,     0.0,     0.0,   203.4,     0.9,     0.0,   155.3
2880.586616, 0.020000, 7.497138e-07, 1.002772e-08,   355.9,   -15.0,     0.0,     0.0,     0.0,   210.5,     0.9,     0.0,   159.4
3050.536705, 0.020000, 7.498380e-07, 1.003003e-08,   368.1,   -15.6,     0.0,     0.0,     0.0,   218.2,     1.0,     0.0,   164.5
3220.480668, 0.020000, 7.498380e-07, 1.003003e-08,   380.8,   -15.4,     0.0,     0.0,     0.0,   225.1,     1.0,     0.0,   170.0
3390.424631, 0.020000, 7.498380e-07, 1.003003e-08,   393.4,   -15.0,     0.0,     0.0,     0.0,   232.1,     1.0,     0.0,   175.2
3560.368594, 0.020000, 7.498380e-07, 1.003003e-08,   405.9,   -14.7,     0.0,     0.0,     0.0,   239.4,     1.1,     0.0,   180.1
3730.312557, 0.020000, 7.498380e-07, 1.003003e-08,   424.2,   -14.3,     0.0,     0.0,     0.0,   248.6,     1.1,     0.0,   188.8
3900.340943, 0.020000, 7.499622e-07, 1.003234e-08,   453.8,   -17.6,     0.0,     0.0,     0.0,   269.0,     1.2,     0.0,   201.2
4070.447627, 0.020000, 7.500863e-07, 1.003465e-08,   479.9,   -20.0,     0.0,     0.0,     0.0,   284.3,     1.3,     0.0,   214.4
4240.548192, 0.020000, 7.500863e-07, 1.003465e-08,   495.1,   -19.8,     0.0,     0.0,     0.0,   293.7,     1.3,     0.0,   219.9
4410.733175, 0.020000, 7.502103e-07, 1.003696e-08,   509.2,   -21.8,     0.0,     0.0,     0.0,   302.7,     1.3,     0.0,   226.9
