Clock, Solids Loading, Box Size, AAR, Fluid Viscosity, Bins per Dimension, Polymers per Bin
0.000000, 0.023200, 7.121042e-07, 1.000000e-08, 8.900000e-03, 2, 0.000000
145.698759, 0.023200, 7.122229e-07, 1.000231e-08, 8.900000e-03, 2, 0.000000
291.465010, 0.023200, 7.123415e-07, 1.000462e-08, 8.900000e-03, 2, 0.000000
437.298755, 0.023200, 7.124601e-07, 1.000693e-08, 8.900000e-03, 2, 0.000000
583.199992, 0.023200, 7.125786e-07, 1.000924e-08, 8.900000e-03, 2, 0.000000
729.095921, 0.023200, 7.125786e-07, 1.000924e-08, 8.900000e-03, 2, 0.000000
874.991850, 0.023200, 7.125786e-07, 1.000924e-08, 8.900000e-03, 2, 0.000000
1020.887779, 0.023200, 7.125786e-07, 1.000924e-08, 8.900000e-03, 2, 0.000000
1166.856511, 0.023200, 7.126971e-07, 1.001155e-08, 8.900000e-03, 2, 0.000000
1312.819937, 0.023200, 7.126971e-07, 1.001155e-08, 8.900000e-03, 2, 0.000000
1458.856162, 0.023200, 7.128156e-07, 1.001386e-08, 8.900000e-03, 2, 0.000000
1604.887085, 0.023200, 7.128156e-07, 1.001386e-08, 8.900000e-03, 2, 0.000000
1750.990805, 0.023200, 7.129340e-07, 1.001617e-08, 8.900000e-03, 2, 0.000000
1897.162021, 0.023200, 7.130524e-07, 1.001848e-08, 8.900000e-03, 2, 0.000000
2043.400731, 0.023200, 7.131707e-07, 1.002079e-08, 8.900000e-03, 2, 0.000000
2189.706938, 0.023200, 7.132891e-07, 1.002310e-08, 8.900000e-03, 2, 0.000000
2336.080641, 0.023200, 7.134073e-07, 1.002541e-08, 8.900000e-03, 2, 0.000000
2482.521841, 0.023200, 7.135256e-07, 1.002772e-08, 8.900000e-03, 2, 0.000000
2628.957756, 0.023200, 7.135256e-07, 1.002772e-08, 8.900000e-03, 2, 0.000000
2775.466454, 0.023200, 7.136437e-07, 1.003003e-08, 8.900000e-03, 2, 0.000000
2922.042649, 0.023200, 7.137619e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
3068.613566, 0.023200, 7.137619e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
3215.184483, 0.023200, 7.137619e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
3361.755400, 0.023200, 7.137619e-07, 1.003234e-08, 8.900000e-03, 2, 0.000000
3508.399093, 0.023200, 7.138800e-07, 1.003465e-08, 8.900000e-03, 2, 0.000000
3655.110286, 0.023200, 7.139981e-07, 1.003696e-08, 8.900000e-03, 2, 0.000000
3801.816206, 0.023200, 7.139981e-07, 1.003696e-08, 8.900000e-03, 2, 0.000000
3948.522127, 0.023200, 7.139981e-07, 1.003696e-08, 8.900000e-03, 2, 0.000000
4095.228047, 0.023200, 7.139981e-07, 1.003696e-08, 8.900000e-03, 2, 0.000000
4241.933968, 0.023200, 7.139981e-07, 1.003696e-08, 8.900000e-03, 2, 0.000000
4388.639888, 0.023200, 7.139981e-07, 1.003696e-08, 8.900000e-03, 2, 0.000000
4535.345809, 0.023200, 7.139981e-07, 1.003696e-08, 8.900000e-03, 2, 0.000000
4682.051729, 0.023200, 7.139981e-07, 1.003696e-08, 8.900000e-03, 2, 0.000000
4828.830420, 0.023200, 7.141161e-07, 1.003927e-08, 8.900000e-03, 2, 0.000000
4975.603843, 0.023200, 7.141161e-07, 1.003927e-08, 8.900000e-03, 2, 0.000000
5122.450034, 0.023200, 7.142341e-07, 1.004033e-08, 8.900000e-03, 2, 0.000000
5269.291667, 0.023200, 7.142341e-07, 1.004033e-08, 8.900000e-03, 2, 0.000000
5416.133300, 0.023200, 7.142341e-07, 1.004033e-08, 8.900000e-03, 2, 0.000000
5562.974932, 0.023200, 7.142341e-07, 1.004033e-08, 8.900000e-03, 2, 0.000000
5709.816565, 0.023200, 7.142341e-07, 1.004033e-08, 8.900000e-03, 2, 0.000000
5856.658198, 0.023200, 7.142341e-07, 1.004033e-08, 8.900000e-03, 2, 0.000000
6003.499830, 0.023200, 7.142341e-07, 1.004033e-08, 8.900000e-03, 2, 0.000000
6150.341463, 0.023200, 7.142341e-07, 1.004033e-08, 8.900000e-03, 2, 0.000000
6297.183096, 0.023200, 7.142341e-07, 1.004033e-08, 8.900000e-03, 2, 0.000000
6444.024728, 0.023200, 7.142341e-07, 1.004033e-08, 8.900000e-03, 2, 0.000000
6590.866361, 0.023200, 7.142341e-07, 1.004033e-08, 8.900000e-03, 2, 0.000000
6737.707994, 0.023200, 7.142341e-07, 1.004033e-08, 8.900000e-03, 2, 0.000000
6884.549627, 0.023200, 7.142341e-07, 1.004033e-08, 8.900000e-03, 2, 0.000000
7031.391259, 0.023200, 7.142341e-07, 1.004033e-08, 8.900000e-03, 2, 0.000000
7178.232892, 0.023200, 7.142341e-07, 1.004033e-08, 8.900000e-03, 2, 0.000000
7325.074525, 0.023200, 7.142341e-07, 1.004033e-08, 8.900000e-03, 2, 0.000000
7471.988923, 0.023200, 7.143521e-07, 1.004264e-08, 8.900000e-03, 2, 0.000000
7618.970819, 0.023200, 7.144700e-07, 1.004495e-08, 8.900000e-03, 2, 0.000000
7765.947453, 0.023200, 7.144700e-07, 1.004495e-08, 8.900000e-03, 2, 0.000000
7912.996848, 0.023200, 7.145879e-07, 1.004726e-08, 8.900000e-03, 2, 0.000000
8060.113741, 0.023200, 7.147057e-07, 1.004957e-08, 8.900000e-03, 2, 0.000000
8207.225379, 0.023200, 7.147057e-07, 1.004957e-08, 8.900000e-03, 2, 0.000000
8354.409771, 0.023200, 7.148235e-07, 1.005188e-08, 8.900000e-03, 2, 0.000000
8501.588911, 0.023200, 7.148235e-07, 1.005188e-08, 8.900000e-03, 2, 0.000000
8648.768051, 0.023200, 7.148235e-07, 1.005188e-08, 8.900000e-03, 2, 0.000000
8796.019943, 0.023200, 7.149413e-07, 1.005419e-08, 8.900000e-03, 2, 0.000000
8943.339336, 0.023200, 7.150590e-07, 1.005650e-08, 8.900000e-03, 2, 0.000000
9090.653483, 0.023200, 7.150590e-07, 1.005650e-08, 8.900000e-03, 2, 0.000000
9237.967629, 0.023200, 7.150590e-07, 1.005650e-08, 8.900000e-03, 2, 0.000000
9385.354523, 0.023200, 7.151767e-07, 1.005881e-08, 8.900000e-03, 2, 0.000000
9532.808918, 0.023200, 7.152943e-07, 1.006112e-08, 8.900000e-03, 2, 0.000000
