Clock, Solids Loading, Box Size, AAR, Stokes Count, Stokes Average, Stokes Max, Brownian Count, Brownian Average, Brownian Max
0.000000, 0.023200, 7.121042e-07, 1.000000e-08, 0, 0.000000e+00, 0.000000e+00, 0, 0.000000e+00, 0.000000e+00
145.698759, 0.023200, 7.122229e-07, 1.000231e-08, 2000, 7.663163e-06, 1.120102e-05, 2000, 6.984712e-06, 2.635305e-05
291.465010, 0.023200, 7.123415e-07, 1.000462e-08, 2000, 7.668483e-06, 1.120621e-05, 2000, 7.215791e-06, 2.655318e-05
437.298755, 0.023200, 7.124601e-07, 1.000693e-08, 2000, 7.673805e-06, 1.121140e-05, 2000, 6.920868e-06, 2.607310e-05
583.199992, 0.023200, 7.125786e-07, 1.000924e-08, 2000, 7.679129e-06, 1.121659e-05, 2000, 6.982536e-06, 2.617109e-05
729.095921, 0.023200, 7.125786e-07, 1.000924e-08, 2000, 7.678850e-06, 1.121618e-05, 2000, 6.805705e-06, 2.619676e-05
874.991850, 0.023200, 7.125786e-07, 1.000924e-08, 2000, 7.678850e-06, 1.121618e-05, 2000, 6.866909e-06, 2.589965e-05
1020.887779, 0.023200, 7.125786e-07, 1.000924e-08, 2000, 7.678850e-06, 1.121618e-05, 2000, 6.891753e-06, 2.471107e-05
1166.856511, 0.023200, 7.126971e-07, 1.001155e-08, 2000, 7.684455e-06, 1.122178e-05, 2000, 7.102249e-06, 2.583054e-05
1312.819937, 0.023200, 7.126971e-07, 1.001155e-08, 2000, 7.684175e-06, 1.122137e-05, 2000, 7.147340e-06, 2.602203e-05
1458.856162, 0.023200, 7.128156e-07, 1.001386e-08, 2000, 7.689782e-06, 1.122697e-05, 2000, 6.940280e-06, 2.501178e-05
1604.887085, 0.023200, 7.128156e-07, 1.001386e-08, 2000, 7.689503e-06, 1.122656e-05, 2000, 6.805865e-06, 2.528901e-05
1750.990805, 0.023200, 7.129340e-07, 1.001617e-08, 2000, 7.695111e-06, 1.123216e-05, 2000, 6.960128e-06, 2.667867e-05
1897.162021, 0.023200, 7.130524e-07, 1.001848e-08, 2000, 7.700441e-06, 1.123735e-05, 2000, 7.000072e-06, 2.669866e-05
2043.400731, 0.023200, 7.131707e-07, 1.002079e-08, 2000, 7.705773e-06, 1.124253e-05, 2000, 6.951374e-06, 2.582583e-05
2189.706938, 0.023200, 7.132891e-07, 1.002310e-08, 2000, 7.711107e-06, 1.124772e-05, 2000, 6.759691e-06, 2.654297e-05
2336.080641, 0.023200, 7.134073e-07, 1.002541e-08, 2000, 7.716442e-06, 1.125291e-05, 2000, 6.745327e-06, 2.604617e-05
2482.521841, 0.023200, 7.135256e-07, 1.002772e-08, 2000, 7.721779e-06, 1.125810e-05, 2000, 6.971662e-06, 2.568058e-05
2628.957756, 0.023200, 7.135256e-07, 1.002772e-08, 2000, 7.721501e-06, 1.125770e-05, 2000, 7.034027e-06, 2.641582e-05
2775.466454, 0.023200, 7.136437e-07, 1.003003e-08, 2000, 7.727118e-06, 1.126329e-05, 2000, 6.870384e-06, 2.625708e-05
2922.042649, 0.023200, 7.137619e-07, 1.003234e-08, 2000, 7.732459e-06, 1.126848e-05, 2000, 6.961161e-06, 2.532747e-05
3068.613566, 0.023200, 7.137619e-07, 1.003234e-08, 2000, 7.732180e-06, 1.126807e-05, 2000, 6.820888e-06, 2.589016e-05
3215.184483, 0.023200, 7.137619e-07, 1.003234e-08, 2000, 7.732180e-06, 1.126807e-05, 2000, 6.863517e-06, 2.607057e-05
3361.755400, 0.023200, 7.137619e-07, 1.003234e-08, 2000, 7.732180e-06, 1.126807e-05, 2000, 6.805888e-06, 2.627286e-05
3508.399093, 0.023200, 7.138800e-07, 1.003465e-08, 2000, 7.737801e-06, 1.127367e-05, 2000, 6.898655e-06, 2.562281e-05
3655.110286, 0.023200, 7.139981e-07, 1.003696e-08, 2000, 7.743144e-06, 1.127886e-05, 2000, 7.042307e-06, 2.527143e-05
3801.816206, 0.023200, 7.139981e-07, 1.003696e-08, 2000, 7.742866e-06, 1.127845e-05, 2000, 6.831322e-06, 2.540445e-05
3948.522127, 0.023200, 7.139981e-07, 1.003696e-08, 2000, 7.742866e-06, 1.127845e-05, 2000, 6.794820e-06, 2.550991e-05
4095.228047, 0.023200, 7.139981e-07, 1.003696e-08, 2000, 7.742866e-06, 1.127845e-05, 2000, 7.025542e-06, 2.584621e-05
4241.933968, 0.023200, 7.139981e-07, 1.003696e-08, 2000, 7.742866e-06, 1.127845e-05, 2000, 6.866737e-06, 2.577180e-05
4388.639888, 0.023200, 7.139981e-07, 1.003696e-08, 2000, 7.742866e-06, 1.127845e-05, 2000, 7.074389e-06, 2.538342e-05
4535.345809, 0.023200, 7.139981e-07, 1.003696e-08, 2000, 7.742866e-06, 1.127845e-05, 2000, 6.733426e-06, 2.622094e-05
4682.051729, 0.023200, 7.139981e-07, 1.003696e-08, 2000, 7.742866e-06, 1.127845e-05, 2000, 6.806823e-06, 2.574063e-05
4828.830420, 0.023200, 7.141161e-07, 1.003927e-08, 2000, 7.748490e-06, 1.128405e-05, 2000, 7.263682e-06, 2.602802e-05
