Clock, Solids Loading, Box Size, AAR, RT Clock, Not accounted for, CheckForPolymerTangles, Stage One, Stage Two, RunSimulation, CalcParticleBrownianMotion, CalcPolymerBrownianMotion, NudgeParticles
0.000000, 0.023200, 7.121042e-07, 1.000000e-08,     1.5,     0.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     1.5
145.698759, 0.023200, 7.122229e-07, 1.000231e-08,     5.1,    -0.1,     0.0,     0.0,     0.0,     2.3,     0.0,     0.0,     2.9
291.465011, 0.023200, 7.123415e-07, 1.000462e-08,     9.4,    -0.7,     0.0,     0.0,     0.0,     5.0,     0.0,     0.0,     5.0
437.225948, 0.023200, 7.123415e-07, 1.000462e-08,    12.9,    -0.6,     0.0,     0.0,     0.0,     6.9,     0.0,     0.0,     6.5
582.986884, 0.023200, 7.123415e-07, 1.000462e-08,    16.4,    -0.5,     0.0,     0.0,     0.0,     8.9,     0.1,     0.0,     7.9
728.820629, 0.023200, 7.124601e-07, 1.000693e-08,    20.6,    -1.1,     0.0,     0.0,     0.0,    11.5,     0.1,     0.0,    10.1
874.721867, 0.023200, 7.125786e-07, 1.000924e-08,    25.0,    -1.6,     0.0,     0.0,     0.0,    14.3,     0.1,     0.0,    12.3
1020.617796, 0.023200, 7.125786e-07, 1.000924e-08,    28.3,    -1.5,     0.0,     0.0,     0.0,    16.3,     0.1,     0.0,    13.5
1166.513725, 0.023200, 7.125786e-07, 1.000924e-08,    32.1,    -1.4,     0.0,     0.0,     0.0,    18.3,     0.1,     0.0,    15.1
1312.409655, 0.023200, 7.125786e-07, 1.000924e-08,    35.7,    -1.3,     0.0,     0.0,     0.0,    20.3,     0.1,     0.0,    16.6
1458.305584, 0.023200, 7.125786e-07, 1.000924e-08,    39.0,    -1.2,     0.0,     0.0,     0.0,    22.3,     0.1,     0.0,    17.8
1604.274315, 0.023200, 7.126971e-07, 1.001155e-08,    43.1,    -1.4,     0.0,     0.0,     0.0,    24.6,     0.2,     0.0,    19.7
1750.237741, 0.023200, 7.126971e-07, 1.001155e-08,    46.6,    -1.2,     0.0,     0.0,     0.0,    26.6,     0.2,     0.0,    21.1
1896.201168, 0.023200, 7.126971e-07, 1.001155e-08,    50.1,    -1.2,     0.0,     0.0,     0.0,    28.6,     0.2,     0.0,    22.5
2042.164594, 0.023200, 7.126971e-07, 1.001155e-08,    53.4,    -1.0,     0.0,     0.0,     0.0,    30.5,     0.2,     0.0,    23.7
2188.200819, 0.023200, 7.128156e-07, 1.001386e-08,    57.6,    -1.4,     0.0,     0.0,     0.0,    33.2,     0.2,     0.0,    25.7
2334.304540, 0.023200, 7.129340e-07, 1.001617e-08,    61.2,    -1.6,     0.0,     0.0,     0.0,    35.4,     0.2,     0.0,    27.1
2480.475755, 0.023200, 7.130524e-07, 1.001848e-08,    65.0,    -1.7,     0.0,     0.0,     0.0,    37.7,     0.2,     0.0,    28.8
2626.714466, 0.023200, 7.131707e-07, 1.002079e-08,    69.5,    -2.3,     0.0,     0.0,     0.0,    40.4,     0.3,     0.0,    31.2
2773.020673, 0.023200, 7.132891e-07, 1.002310e-08,    73.3,    -2.5,     0.0,     0.0,     0.0,    42.6,     0.3,     0.0,    32.8
2919.321590, 0.023200, 7.132891e-07, 1.002310e-08,    76.9,    -2.4,     0.0,     0.0,     0.0,    44.6,     0.3,     0.0,    34.4
3065.622506, 0.023200, 7.132891e-07, 1.002310e-08,    80.7,    -2.3,     0.0,     0.0,     0.0,    46.5,     0.3,     0.0,    36.2
3211.923423, 0.023200, 7.132891e-07, 1.002310e-08,    84.2,    -2.2,     0.0,     0.0,     0.0,    48.5,     0.3,     0.0,    37.6
