Clock, Solids Loading, BoxSize, AAR, Iteration, Smallest Particle Radius, AAR, Largest Particle Radius, Max. Polymer Radius, Max. Tangle Radius, agglomerationsAccepted, agglomerationsRejected, particlesDidNotApproach, last Dim, last AAF, Radius of Gyration, Average approach prob, Average escape prob
0.000000, 0.023200, 7.121042e-07, 1.000000e-08, 0, 1.000000e-08, 1.000000e-08, 1.000000e-08, 0.000000e+00, 0.000000e+00, 0, 0, 0, 0.000000e+00, 0.000000e+00, 0.000000e+00,  0.00,  0.00
145.698759, 0.023200, 7.122229e-07, 1.000231e-08, 1, 1.000000e-08, 1.000231e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 1, 0, 0, 1.372695e-02, 1.239829e-27, 0.000000e+00,  0.95,  0.00
291.465011, 0.023200, 7.123415e-07, 1.000462e-08, 2, 1.000000e-08, 1.000462e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 2, 0, 0, 1.372060e-02, 1.239874e-27, 0.000000e+00,  0.73,  0.00
437.225948, 0.023200, 7.123415e-07, 1.000462e-08, 3, 1.000000e-08, 1.000462e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 2, 1, 1, 1.372110e-02, 1.239920e-27, 0.000000e+00,  0.54,  0.00
582.986884, 0.023200, 7.123415e-07, 1.000462e-08, 4, 1.000000e-08, 1.000462e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 2, 2, 2, 1.372110e-02, 1.239920e-27, 0.000000e+00,  0.54,  0.00
728.820629, 0.023200, 7.124601e-07, 1.000693e-08, 5, 1.000000e-08, 1.000693e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 3, 2, 2, 1.371425e-02, 1.239920e-27, 0.000000e+00,  0.55,  0.00
874.721867, 0.023200, 7.125786e-07, 1.000924e-08, 6, 1.000000e-08, 1.000924e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 4, 2, 2, 1.370790e-02, 1.239965e-27, 0.000000e+00,  0.55,  0.00
1020.617796, 0.023200, 7.125786e-07, 1.000924e-08, 7, 1.000000e-08, 1.000924e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 4, 3, 3, 1.370840e-02, 1.240010e-27, 0.000000e+00,  0.49,  0.00
1166.513725, 0.023200, 7.125786e-07, 1.000924e-08, 8, 1.000000e-08, 1.000924e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 4, 4, 4, 1.370840e-02, 1.240010e-27, 0.000000e+00,  0.29,  0.00
1312.409655, 0.023200, 7.125786e-07, 1.000924e-08, 9, 1.000000e-08, 1.000924e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 4, 5, 5, 1.370840e-02, 1.240010e-27, 0.000000e+00,  0.06,  0.00
1458.305584, 0.023200, 7.125786e-07, 1.000924e-08, 10, 1.000000e-08, 1.000924e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 4, 6, 6, 1.370840e-02, 1.240010e-27, 0.000000e+00,  0.43,  0.00
1604.274315, 0.023200, 7.126971e-07, 1.001155e-08, 11, 1.000000e-08, 1.001155e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 5, 6, 6, 1.370156e-02, 1.240010e-27, 0.000000e+00,  0.49,  0.00
