Clock, Solids Loading, Box Size, AAR, RT Clock, Not accounted for, CheckForPolymerTangles, Stage One, Stage Two, RunSimulation, CalcParticleBrownianMotion, CalcPolymerBrownianMotion, NudgeParticles
0.000000, 0.023200, 7.121042e-07, 1.000000e-08,     1.1,     0.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     1.1
145.698759, 0.023200, 7.122229e-07, 1.000231e-08,     4.6,    -0.1,     0.0,     0.0,     0.0,     2.1,     0.0,     0.0,     2.6
291.465011, 0.023200, 7.123415e-07, 1.000462e-08,     8.5,    -0.2,     0.0,     0.0,     0.0,     4.1,     0.0,     0.0,     4.6
437.298755, 0.023200, 7.124601e-07, 1.000693e-08,    11.7,    -0.3,     0.0,     0.0,     0.0,     6.1,     0.0,     0.0,     5.9
583.127188, 0.023200, 7.124601e-07, 1.000693e-08,    15.1,    -0.2,     0.0,     0.0,     0.0,     7.9,     0.0,     0.0,     7.4
728.955621, 0.023200, 7.124601e-07, 1.000693e-08,    18.5,    -0.1,     0.0,     0.0,     0.0,     9.7,     0.1,     0.0,     8.9
874.856859, 0.023200, 7.125786e-07, 1.000924e-08,    21.7,    -0.2,     0.0,     0.0,     0.0,    11.7,     0.1,     0.0,    10.2
1020.825590, 0.023200, 7.126971e-07, 1.001155e-08,    25.2,    -0.3,     0.0,     0.0,     0.0,    13.7,     0.1,     0.0,    11.7
1166.861816, 0.023200, 7.128156e-07, 1.001386e-08,    28.6,    -0.4,     0.0,     0.0,     0.0,    15.7,     0.1,     0.0,    13.3
1312.892739, 0.023200, 7.128156e-07, 1.001386e-08,    31.9,    -0.3,     0.0,     0.0,     0.0,    17.5,     0.1,     0.0,    14.6
1458.923663, 0.023200, 7.128156e-07, 1.001386e-08,    35.2,    -0.1,     0.0,     0.0,     0.0,    19.3,     0.1,     0.0,    15.9
1604.954586, 0.023200, 7.128156e-07, 1.001386e-08,    38.3,    -0.0,     0.0,     0.0,     0.0,    21.1,     0.1,     0.0,    17.0
1750.985509, 0.023200, 7.128156e-07, 1.001386e-08,    41.7,     0.1,     0.0,     0.0,     0.0,    22.9,     0.2,     0.0,    18.5
1897.016433, 0.023200, 7.128156e-07, 1.001386e-08,    44.9,     0.2,     0.0,     0.0,     0.0,    24.7,     0.2,     0.0,    19.8
2043.120153, 0.023200, 7.129340e-07, 1.001617e-08,    48.6,     0.1,     0.0,     0.0,     0.0,    26.8,     0.2,     0.0,    21.6
