Clock, Solids Loading, Box Size, AAR, Stokes Count, Stokes Average, Stokes Max, Brownian Count, Brownian Average, Brownian Max
0.000000, 0.023200, 7.121042e-07, 1.000000e-08, 0, 0.000000e+00, 0.000000e+00, 0, 0.000000e+00, 0.000000e+00
145.698759, 0.023200, 7.122229e-07, 1.000231e-08, 2000, 7.663163e-06, 1.120102e-05, 2000, 7.100772e-06, 2.631404e-05
291.465011, 0.023200, 7.123415e-07, 1.000462e-08, 2000, 7.668483e-06, 1.120621e-05, 2000, 6.852294e-06, 2.557222e-05
437.225948, 0.023200, 7.123415e-07, 1.000462e-08, 2000, 7.668204e-06, 1.120580e-05, 2000, 6.891275e-06, 2.634085e-05
582.986884, 0.023200, 7.123415e-07, 1.000462e-08, 2000, 7.668204e-06, 1.120580e-05, 2000, 6.848840e-06, 2.583113e-05
728.820629, 0.023200, 7.124601e-07, 1.000693e-08, 2000, 7.673805e-06, 1.121140e-05, 2000, 7.031362e-06, 2.606146e-05
874.721867, 0.023200, 7.125786e-07, 1.000924e-08, 2000, 7.679129e-06, 1.121659e-05, 2000, 7.035699e-06, 2.613650e-05
1020.617796, 0.023200, 7.125786e-07, 1.000924e-08, 2000, 7.678850e-06, 1.121618e-05, 2000, 6.953743e-06, 2.474850e-05
1166.513725, 0.023200, 7.125786e-07, 1.000924e-08, 2000, 7.678850e-06, 1.121618e-05, 2000, 6.556437e-06, 2.576593e-05
1312.409655, 0.023200, 7.125786e-07, 1.000924e-08, 2000, 7.678850e-06, 1.121618e-05, 2000, 6.957501e-06, 2.601386e-05
1458.305584, 0.023200, 7.125786e-07, 1.000924e-08, 2000, 7.678850e-06, 1.121618e-05, 2000, 6.855395e-06, 2.640712e-05
1604.274315, 0.023200, 7.126971e-07, 1.001155e-08, 2000, 7.684455e-06, 1.122178e-05, 2000, 6.963716e-06, 2.573040e-05
1750.237741, 0.023200, 7.126971e-07, 1.001155e-08, 2000, 7.684175e-06, 1.122137e-05, 2000, 6.989896e-06, 2.633988e-05
1896.201168, 0.023200, 7.126971e-07, 1.001155e-08, 2000, 7.684175e-06, 1.122137e-05, 2000, 6.731622e-06, 2.620622e-05
2042.164594, 0.023200, 7.126971e-07, 1.001155e-08, 2000, 7.684175e-06, 1.122137e-05, 2000, 7.019282e-06, 2.569152e-05
2188.200819, 0.023200, 7.128156e-07, 1.001386e-08, 2000, 7.689782e-06, 1.122697e-05, 2000, 7.003468e-06, 2.543966e-05
2334.304540, 0.023200, 7.129340e-07, 1.001617e-08, 2000, 7.695111e-06, 1.123216e-05, 2000, 6.856219e-06, 2.589240e-05
2480.475755, 0.023200, 7.130524e-07, 1.001848e-08, 2000, 7.700441e-06, 1.123735e-05, 2000, 6.798893e-06, 2.676676e-05
