Clock, Solids Loading, Box Size, AAR, average X Loc, average Y Loc, average Z Loc, Largest Particle Radius, lengthOfSubparticleList, Total Ellipsoids that Merged, Max. WillFit retries, maxLenNpHoldAreClose, Viscosity Scaler
0.000000, 0.023200, 7.121042e-07, 1.000000e-08, 0.495160, 0.495160, 0.497883, 1.000000e-08, 2000, 0, 0, 0, 0.000000
145.698759, 0.023200, 7.122229e-07, 1.000231e-08, 0.498269, 0.498269, 0.498758, 1.462009e-08, 2000, 0, 0, 0, 0.000000
291.465010, 0.023200, 7.123415e-07, 1.000462e-08, 0.511899, 0.511899, 0.501036, 1.462009e-08, 2000, 0, 0, 0, 0.000000
437.225947, 0.023200, 7.123415e-07, 1.000462e-08, 0.498572, 0.498572, 0.501550, 1.462009e-08, 2000, 0, 0, 0, 0.000000
582.986884, 0.023200, 7.123415e-07, 1.000462e-08, 0.498072, 0.498072, 0.502708, 1.462009e-08, 2000, 0, 0, 0, 0.000000
728.820628, 0.023200, 7.124601e-07, 1.000693e-08, 0.505222, 0.505222, 0.502893, 1.462009e-08, 2000, 0, 0, 0, 0.000000
874.721866, 0.023200, 7.125786e-07, 1.000924e-08, 0.494182, 0.494182, 0.498505, 1.462009e-08, 2000, 0, 0, 0, 0.000000
1020.617795, 0.023200, 7.125786e-07, 1.000924e-08, 0.495205, 0.495205, 0.502840, 1.462009e-08, 2000, 0, 0, 0, 0.000000
1166.513724, 0.023200, 7.125786e-07, 1.000924e-08, 0.509746, 0.509746, 0.512393, 1.462009e-08, 2000, 0, 0, 0, 0.000000
1312.482455, 0.023200, 7.126971e-07, 1.001155e-08, 0.489184, 0.489184, 0.498684, 1.462009e-08, 2000, 0, 0, 0, 0.000000
1458.518681, 0.023200, 7.128156e-07, 1.001386e-08, 0.498464, 0.498464, 0.491058, 1.462009e-08, 2000, 0, 0, 0, 0.000000
1604.622401, 0.023200, 7.129340e-07, 1.001617e-08, 0.496783, 0.496783, 0.494192, 1.462009e-08, 2000, 0, 0, 0, 0.000000
1750.793616, 0.023200, 7.130524e-07, 1.001848e-08, 0.497958, 0.497958, 0.497347, 1.462009e-08, 2000, 0, 0, 0, 0.000000
1896.959535, 0.023200, 7.130524e-07, 1.001848e-08, 0.502986, 0.502986, 0.498894, 1.462009e-08, 2000, 0, 0, 0, 0.000000
2043.125454, 0.023200, 7.130524e-07, 1.001848e-08, 0.496807, 0.496807, 0.500436, 1.462009e-08, 2000, 0, 0, 0, 0.000000
2189.291373, 0.023200, 7.130524e-07, 1.001848e-08, 0.492060, 0.492060, 0.512570, 1.462009e-08, 2000, 0, 0, 0, 0.000000
2335.457292, 0.023200, 7.130524e-07, 1.001848e-08, 0.509288, 0.509288, 0.499292, 1.462009e-08, 2000, 0, 0, 0, 0.000000
2481.623211, 0.023200, 7.130524e-07, 1.001848e-08, 0.505356, 0.505356, 0.495217, 1.462009e-08, 2000, 0, 0, 0, 0.000000
2627.789130, 0.023200, 7.130524e-07, 1.001848e-08, 0.492253, 0.492253, 0.503137, 1.462009e-08, 2000, 0, 0, 0, 0.000000
