Clock, Solids Loading, Box Size, AAR, RT Clock, Not accounted for, CheckForPolymerTangles, Stage One, Stage Two, RunSimulation, CalcParticleBrownianMotion, CalcPolymerBrownianMotion, NudgeParticles
0.000000, 0.023200, 7.121042e-07, 1.000000e-08,     1.1,     0.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     1.0
145.698759, 0.023200, 7.122229e-07, 1.000231e-08,     4.8,    -0.1,     0.0,     0.0,     0.0,     2.1,     0.0,     0.0,     2.8
291.392200, 0.023200, 7.122229e-07, 1.000231e-08,     8.3,     0.0,     0.0,     0.0,     0.0,     3.8,     0.0,     0.0,     4.4
437.158452, 0.023200, 7.123415e-07, 1.000462e-08,    12.0,    -0.1,     0.0,     0.0,     0.0,     6.0,     0.0,     0.0,     6.0
582.992196, 0.023200, 7.124601e-07, 1.000693e-08,    16.1,    -0.8,     0.0,     0.0,     0.0,     8.7,     0.1,     0.0,     8.2
728.893434, 0.023200, 7.125786e-07, 1.000924e-08,    19.9,    -1.3,     0.0,     0.0,     0.0,    11.2,     0.1,     0.0,    10.0
874.789363, 0.023200, 7.125786e-07, 1.000924e-08,    23.2,    -1.2,     0.0,     0.0,     0.0,    13.1,     0.1,     0.0,    11.3
1020.758094, 0.023200, 7.126971e-07, 1.001155e-08,    27.0,    -1.3,     0.0,     0.0,     0.0,    15.2,     0.1,     0.0,    13.1
1166.721520, 0.023200, 7.126971e-07, 1.001155e-08,    30.5,    -1.2,     0.0,     0.0,     0.0,    17.0,     0.1,     0.0,    14.6
1312.757746, 0.023200, 7.128156e-07, 1.001386e-08,    34.1,    -1.4,     0.0,     0.0,     0.0,    19.3,     0.1,     0.0,    16.1
1458.861466, 0.023200, 7.129340e-07, 1.001617e-08,    37.8,    -1.5,     0.0,     0.0,     0.0,    21.5,     0.1,     0.0,    17.6
1605.032682, 0.023200, 7.130524e-07, 1.001848e-08,    41.6,    -1.6,     0.0,     0.0,     0.0,    23.7,     0.1,     0.0,    19.3
1751.198601, 0.023200, 7.130524e-07, 1.001848e-08,    45.0,    -1.5,     0.0,     0.0,     0.0,    25.5,     0.2,     0.0,    20.8
1897.364519, 0.023200, 7.130524e-07, 1.001848e-08,    47.8,    -1.4,     0.0,     0.0,     0.0,    27.2,     0.2,     0.0,    21.8
2043.530438, 0.023200, 7.130524e-07, 1.001848e-08,    51.1,    -1.3,     0.0,     0.0,     0.0,    29.0,     0.2,     0.0,    23.2
2189.769149, 0.023200, 7.131707e-07, 1.002079e-08,    54.1,    -1.4,     0.0,     0.0,     0.0,    30.9,     0.2,     0.0,    24.4
2336.002567, 0.023200, 7.131707e-07, 1.002079e-08,    57.3,    -1.3,     0.0,     0.0,     0.0,    32.6,     0.2,     0.0,    25.7
2482.308773, 0.023200, 7.132891e-07, 1.002310e-08,    60.8,    -1.6,     0.0,     0.0,     0.0,    34.9,     0.2,     0.0,    27.4
2628.609690, 0.023200, 7.132891e-07, 1.002310e-08,    63.8,    -1.5,     0.0,     0.0,     0.0,    36.6,     0.2,     0.0,    28.5
2774.910607, 0.023200, 7.132891e-07, 1.002310e-08,    66.9,    -1.4,     0.0,     0.0,     0.0,    38.3,     0.2,     0.0,    29.7
2921.211523, 0.023200, 7.132891e-07, 1.002310e-08,    70.1,    -1.3,     0.0,     0.0,     0.0,    40.1,     0.3,     0.0,    31.1
3067.512440, 0.023200, 7.132891e-07, 1.002310e-08,    72.9,    -1.2,     0.0,     0.0,     0.0,    41.8,     0.3,     0.0,    32.0
3213.813356, 0.023200, 7.132891e-07, 1.002310e-08,    75.9,    -1.1,     0.0,     0.0,     0.0,    43.6,     0.3,     0.0,    33.2
3360.187059, 0.023200, 7.134073e-07, 1.002541e-08,    79.2,    -1.2,     0.0,     0.0,     0.0,    45.5,     0.3,     0.0,    34.6
3506.628259, 0.023200, 7.135256e-07, 1.002772e-08,    82.6,    -1.6,     0.0,     0.0,     0.0,    47.7,     0.3,     0.0,    36.2
3653.064175, 0.023200, 7.135256e-07, 1.002772e-08,    85.7,    -1.5,     0.0,     0.0,     0.0,    49.4,     0.3,     0.0,    37.4
3799.500091, 0.023200, 7.135256e-07, 1.002772e-08,    88.7,    -1.4,     0.0,     0.0,     0.0,    51.1,     0.3,     0.0,    38.6
3945.936007, 0.023200, 7.135256e-07, 1.002772e-08,    91.9,    -1.3,     0.0,     0.0,     0.0,    52.9,     0.3,     0.0,    40.0
4092.371923, 0.023200, 7.135256e-07, 1.002772e-08,    94.7,    -1.2,     0.0,     0.0,     0.0,    54.6,     0.4,     0.0,    41.0
4238.807839, 0.023200, 7.135256e-07, 1.002772e-08,    97.8,    -1.1,     0.0,     0.0,     0.0,    56.3,     0.4,     0.0,    42.2
4385.316536, 0.023200, 7.136437e-07, 1.003003e-08,   101.2,    -1.1,     0.0,     0.0,     0.0,    58.2,     0.4,     0.0,    43.8
4531.819953, 0.023200, 7.136437e-07, 1.003003e-08,   104.1,    -1.0,     0.0,     0.0,     0.0,    59.9,     0.4,     0.0,    44.8
4678.323369, 0.023200, 7.136437e-07, 1.003003e-08,   107.4,    -0.9,     0.0,     0.0,     0.0,    61.7,     0.4,     0.0,    46.2
4824.899564, 0.023200, 7.137619e-07, 1.003234e-08,   110.7,    -1.2,     0.0,     0.0,     0.0,    63.9,     0.4,     0.0,    47.6
4971.543258, 0.023200, 7.138800e-07, 1.003465e-08,   113.9,    -1.3,     0.0,     0.0,     0.0,    65.8,     0.4,     0.0,    49.0
5118.181676, 0.023200, 7.138800e-07, 1.003465e-08,   117.3,    -1.2,     0.0,     0.0,     0.0,    67.5,     0.5,     0.0,    50.6
5264.892869, 0.023200, 7.139981e-07, 1.003571e-08,   120.4,    -1.4,     0.0,     0.0,     0.0,    69.5,     0.5,     0.0,    51.8
5411.599502, 0.023200, 7.139981e-07, 1.003571e-08,   123.2,    -1.3,     0.0,     0.0,     0.0,    71.2,     0.5,     0.0,    52.8
5558.378907, 0.023200, 7.141161e-07, 1.003802e-08,   126.5,    -1.4,     0.0,     0.0,     0.0,    73.1,     0.5,     0.0,    54.3
5705.153040, 0.023200, 7.141161e-07, 1.003802e-08,   129.5,    -1.3,     0.0,     0.0,     0.0,    74.8,     0.5,     0.0,    55.4
5851.927173, 0.023200, 7.141161e-07, 1.003802e-08,   132.5,    -1.2,     0.0,     0.0,     0.0,    76.6,     0.5,     0.0,    56.6
5998.774074, 0.023200, 7.142341e-07, 1.003908e-08,   136.2,    -1.7,     0.0,     0.0,     0.0,    78.9,     0.5,     0.0,    58.5
6145.616416, 0.023200, 7.142341e-07, 1.003908e-08,   139.4,    -1.6,     0.0,     0.0,     0.0,    80.6,     0.5,     0.0,    59.9
6292.458758, 0.023200, 7.142341e-07, 1.003908e-08,   142.6,    -1.6,     0.0,     0.0,     0.0,    82.3,     0.5,     0.0,    61.3
6439.301100, 0.023200, 7.142341e-07, 1.003908e-08,   145.8,    -1.5,     0.0,     0.0,     0.0,    84.0,     0.6,     0.0,    62.7
6586.143441, 0.023200, 7.142341e-07, 1.003908e-08,   148.6,    -1.4,     0.0,     0.0,     0.0,    85.7,     0.6,     0.0,    63.7
6732.985783, 0.023200, 7.142341e-07, 1.003908e-08,   151.6,    -1.3,     0.0,     0.0,     0.0,    87.4,     0.6,     0.0,    64.9
6879.828125, 0.023200, 7.142341e-07, 1.003908e-08,   154.7,    -1.2,     0.0,     0.0,     0.0,    89.1,     0.6,     0.0,    66.1
7026.670467, 0.023200, 7.142341e-07, 1.003908e-08,   157.7,    -1.1,     0.0,     0.0,     0.0,    90.9,     0.6,     0.0,    67.3
7173.512808, 0.023200, 7.142341e-07, 1.003908e-08,   160.9,    -1.0,     0.0,     0.0,     0.0,    92.6,     0.6,     0.0,    68.7
7320.355150, 0.023200, 7.142341e-07, 1.003908e-08,   164.0,    -0.9,     0.0,     0.0,     0.0,    94.3,     0.6,     0.0,    69.9
7467.197492, 0.023200, 7.142341e-07, 1.003908e-08,   167.0,    -0.8,     0.0,     0.0,     0.0,    96.1,     0.6,     0.0,    71.0
7614.039834, 0.023200, 7.142341e-07, 1.003908e-08,   170.0,    -0.7,     0.0,     0.0,     0.0,    97.8,     0.7,     0.0,    72.2
7760.882175, 0.023200, 7.142341e-07, 1.003908e-08,   173.0,    -0.6,     0.0,     0.0,     0.0,    99.5,     0.7,     0.0,    73.4
7907.724517, 0.023200, 7.142341e-07, 1.003908e-08,   176.0,    -0.5,     0.0,     0.0,     0.0,   101.2,     0.7,     0.0,    74.6
8054.566859, 0.023200, 7.142341e-07, 1.003908e-08,   179.2,    -0.4,     0.0,     0.0,     0.0,   102.9,     0.7,     0.0,    76.0
8201.409200, 0.023200, 7.142341e-07, 1.003908e-08,   182.7,    -0.2,     0.0,     0.0,     0.0,   104.6,     0.7,     0.0,    77.6
8348.251542, 0.023200, 7.142341e-07, 1.003908e-08,   185.8,    -0.1,     0.0,     0.0,     0.0,   106.3,     0.7,     0.0,    78.8
8495.093884, 0.023200, 7.142341e-07, 1.003908e-08,   188.8,     0.0,     0.0,     0.0,     0.0,   108.0,     0.7,     0.0,    80.0
8641.936226, 0.023200, 7.142341e-07, 1.003908e-08,   192.0,     0.1,     0.0,     0.0,     0.0,   109.7,     0.8,     0.0,    81.4
8788.778567, 0.023200, 7.142341e-07, 1.003908e-08,   195.4,     0.2,     0.0,     0.0,     0.0,   111.5,     0.8,     0.0,    83.0
8935.620909, 0.023200, 7.142341e-07, 1.003908e-08,   198.2,     0.3,     0.0,     0.0,     0.0,   113.2,     0.8,     0.0,    83.9
9082.463251, 0.023200, 7.142341e-07, 1.003908e-08,   201.2,     0.4,     0.0,     0.0,     0.0,   114.9,     0.8,     0.0,    85.1
9229.305593, 0.023200, 7.142341e-07, 1.003908e-08,   204.0,     0.5,     0.0,     0.0,     0.0,   116.6,     0.8,     0.0,    86.1
9376.147934, 0.023200, 7.142341e-07, 1.003908e-08,   207.2,     0.6,     0.0,     0.0,     0.0,   118.3,     0.8,     0.0,    87.5
9522.990276, 0.023200, 7.142341e-07, 1.003908e-08,   210.4,     0.7,     0.0,     0.0,     0.0,   120.0,     0.8,     0.0,    88.9
9669.832618, 0.023200, 7.142341e-07, 1.003908e-08,   213.4,     0.8,     0.0,     0.0,     0.0,   121.7,     0.8,     0.0,    90.1
9816.674960, 0.023200, 7.142341e-07, 1.003908e-08,   216.6,     0.9,     0.0,     0.0,     0.0,   123.4,     0.8,     0.0,    91.5
9963.517301, 0.023200, 7.142341e-07, 1.003908e-08,   219.6,     1.0,     0.0,     0.0,     0.0,   125.1,     0.9,     0.0,    92.7
10110.359643, 0.023200, 7.142341e-07, 1.003908e-08,   222.6,     1.1,     0.0,     0.0,     0.0,   126.8,     0.9,     0.0,    93.9
10257.201985, 0.023200, 7.142341e-07, 1.003908e-08,   225.6,     1.2,     0.0,     0.0,     0.0,   128.5,     0.9,     0.0,    95.1
10404.044327, 0.023200, 7.142341e-07, 1.003908e-08,   228.5,     1.3,     0.0,     0.0,     0.0,   130.2,     0.9,     0.0,    96.1
10550.886668, 0.023200, 7.142341e-07, 1.003908e-08,   231.5,     1.4,     0.0,     0.0,     0.0,   131.9,     0.9,     0.0,    97.3
10697.729010, 0.023200, 7.142341e-07, 1.003908e-08,   234.3,     1.5,     0.0,     0.0,     0.0,   133.6,     0.9,     0.0,    98.3
10844.571352, 0.023200, 7.142341e-07, 1.003908e-08,   237.7,     1.6,     0.0,     0.0,     0.0,   135.3,     0.9,     0.0,    99.9
10991.413693, 0.023200, 7.142341e-07, 1.003908e-08,   240.7,     1.7,     0.0,     0.0,     0.0,   137.0,     0.9,     0.0,   101.0
11138.256035, 0.023200, 7.142341e-07, 1.003908e-08,   244.1,     1.8,     0.0,     0.0,     0.0,   138.7,     1.0,     0.0,   102.6
11285.098377, 0.023200, 7.142341e-07, 1.003908e-08,   247.2,     1.9,     0.0,     0.0,     0.0,   140.5,     1.0,     0.0,   103.8
11431.940719, 0.023200, 7.142341e-07, 1.003908e-08,   250.2,     2.0,     0.0,     0.0,     0.0,   142.2,     1.0,     0.0,   105.0
11578.783060, 0.023200, 7.142341e-07, 1.003908e-08,   253.4,     2.1,     0.0,     0.0,     0.0,   143.9,     1.0,     0.0,   106.4
11725.625402, 0.023200, 7.142341e-07, 1.003908e-08,   256.4,     2.2,     0.0,     0.0,     0.0,   145.6,     1.0,     0.0,   107.6
11872.467744, 0.023200, 7.142341e-07, 1.003908e-08,   259.4,     2.3,     0.0,     0.0,     0.0,   147.3,     1.0,     0.0,   108.8
12019.310086, 0.023200, 7.142341e-07, 1.003908e-08,   262.4,     2.4,     0.0,     0.0,     0.0,   149.0,     1.0,     0.0,   110.0
12166.152427, 0.023200, 7.142341e-07, 1.003908e-08,   265.6,     2.5,     0.0,     0.0,     0.0,   150.7,     1.0,     0.0,   111.4
12312.994769, 0.023200, 7.142341e-07, 1.003908e-08,   268.6,     2.6,     0.0,     0.0,     0.0,   152.4,     1.1,     0.0,   112.5
12459.837111, 0.023200, 7.142341e-07, 1.003908e-08,   271.4,     2.7,     0.0,     0.0,     0.0,   154.1,     1.1,     0.0,   113.5
12606.679453, 0.023200, 7.142341e-07, 1.003908e-08,   274.6,     2.8,     0.0,     0.0,     0.0,   155.8,     1.1,     0.0,   114.9
12753.521794, 0.023200, 7.142341e-07, 1.003908e-08,   277.4,     2.9,     0.0,     0.0,     0.0,   157.5,     1.1,     0.0,   115.9
12900.364136, 0.023200, 7.142341e-07, 1.003908e-08,   280.5,     3.0,     0.0,     0.0,     0.0,   159.2,     1.1,     0.0,   117.1
13047.206478, 0.023200, 7.142341e-07, 1.003908e-08,   283.5,     3.1,     0.0,     0.0,     0.0,   160.9,     1.1,     0.0,   118.3
13194.048820, 0.023200, 7.142341e-07, 1.003908e-08,   286.9,     3.2,     0.0,     0.0,     0.0,   162.7,     1.1,     0.0,   119.9
13340.891161, 0.023200, 7.142341e-07, 1.003908e-08,   290.0,     3.3,     0.0,     0.0,     0.0,   164.4,     1.1,     0.0,   121.1
13487.733503, 0.023200, 7.142341e-07, 1.003908e-08,   292.8,     3.4,     0.0,     0.0,     0.0,   166.1,     1.2,     0.0,   122.1
13634.575845, 0.023200, 7.142341e-07, 1.003908e-08,   295.8,     3.5,     0.0,     0.0,     0.0,   167.8,     1.2,     0.0,   123.3
