Clock, Solids Loading, Box Size, AAR, Ellipsoid count, Ellipsoid VolFrac, Number of Captured Particles, Number of Tangles with Particles, Most Tangles in Ellipsoid
0.000000, 0.023200, 7.121042e-07, 1.000000e-08, 0, 0.000000, 0, 0, 0
145.698759, 0.023200, 7.122229e-07, 1.000231e-08, 0, 0.000000, 0, 0, 0
291.465010, 0.023200, 7.123415e-07, 1.000462e-08, 0, 0.000000, 0, 0, 0
437.298755, 0.023200, 7.124601e-07, 1.000693e-08, 0, 0.000000, 0, 0, 0
583.199993, 0.023200, 7.125786e-07, 1.000924e-08, 0, 0.000000, 0, 0, 0
729.168724, 0.023200, 7.126971e-07, 1.001155e-08, 0, 0.000000, 0, 0, 0
875.204950, 0.023200, 7.128156e-07, 1.001386e-08, 0, 0.000000, 0, 0, 0
1021.308670, 0.023200, 7.129340e-07, 1.001617e-08, 0, 0.000000, 0, 0, 0
1167.407091, 0.023200, 7.129340e-07, 1.001617e-08, 0, 0.000000, 0, 0, 0
1313.505512, 0.023200, 7.129340e-07, 1.001617e-08, 0, 0.000000, 0, 0, 0
1459.603933, 0.023200, 7.129340e-07, 1.001617e-08, 0, 0.000000, 0, 0, 0
1605.702353, 0.023200, 7.129340e-07, 1.001617e-08, 0, 0.000000, 0, 0, 0
1751.800774, 0.023200, 7.129340e-07, 1.001617e-08, 0, 0.000000, 0, 0, 0
1897.899195, 0.023200, 7.129340e-07, 1.001617e-08, 0, 0.000000, 0, 0, 0
2043.997616, 0.023200, 7.129340e-07, 1.001617e-08, 0, 0.000000, 0, 0, 0
2190.168831, 0.023200, 7.130524e-07, 1.001848e-08, 0, 0.000000, 0, 0, 0
2336.407542, 0.023200, 7.131707e-07, 1.002079e-08, 0, 0.000000, 0, 0, 0
2482.640960, 0.023200, 7.131707e-07, 1.002079e-08, 0, 0.000000, 0, 0, 0
2628.874377, 0.023200, 7.131707e-07, 1.002079e-08, 0, 0.000000, 0, 0, 0
2775.180584, 0.023200, 7.132891e-07, 1.002310e-08, 0, 0.000000, 0, 0, 0
2921.554287, 0.023200, 7.134073e-07, 1.002541e-08, 0, 0.000000, 0, 0, 0
3067.922703, 0.023200, 7.134073e-07, 1.002541e-08, 0, 0.000000, 0, 0, 0
3214.291119, 0.023200, 7.134073e-07, 1.002541e-08, 0, 0.000000, 0, 0, 0
3360.659535, 0.023200, 7.134073e-07, 1.002541e-08, 0, 0.000000, 0, 0, 0
3507.027951, 0.023200, 7.134073e-07, 1.002541e-08, 0, 0.000000, 0, 0, 0
3653.469151, 0.023200, 7.135256e-07, 1.002772e-08, 0, 0.000000, 0, 0, 0
3799.905067, 0.023200, 7.135256e-07, 1.002772e-08, 0, 0.000000, 0, 0, 0
3946.340983, 0.023200, 7.135256e-07, 1.002772e-08, 0, 0.000000, 0, 0, 0
4092.776899, 0.023200, 7.135256e-07, 1.002772e-08, 0, 0.000000, 0, 0, 0
4239.285596, 0.023200, 7.136437e-07, 1.003003e-08, 0, 0.000000, 0, 0, 0
4385.861791, 0.023200, 7.137619e-07, 1.003234e-08, 0, 0.000000, 0, 0, 0
4532.432709, 0.023200, 7.137619e-07, 1.003234e-08, 0, 0.000000, 0, 0, 0
4679.003626, 0.023200, 7.137619e-07, 1.003234e-08, 0, 0.000000, 0, 0, 0
4825.574543, 0.023200, 7.137619e-07, 1.003234e-08, 0, 0.000000, 0, 0, 0
4972.145461, 0.023200, 7.137619e-07, 1.003234e-08, 0, 0.000000, 0, 0, 0
5118.716378, 0.023200, 7.137619e-07, 1.003234e-08, 0, 0.000000, 0, 0, 0
5265.287295, 0.023200, 7.137619e-07, 1.003234e-08, 0, 0.000000, 0, 0, 0
5411.858213, 0.023200, 7.137619e-07, 1.003234e-08, 0, 0.000000, 0, 0, 0
5558.429130, 0.023200, 7.137619e-07, 1.003234e-08, 0, 0.000000, 0, 0, 0
5705.000047, 0.023200, 7.137619e-07, 1.003234e-08, 0, 0.000000, 0, 0, 0
5851.570964, 0.023200, 7.137619e-07, 1.003234e-08, 0, 0.000000, 0, 0, 0
5998.141882, 0.023200, 7.137619e-07, 1.003234e-08, 0, 0.000000, 0, 0, 0
6144.712799, 0.023200, 7.137619e-07, 1.003234e-08, 0, 0.000000, 0, 0, 0
6291.283716, 0.023200, 7.137619e-07, 1.003234e-08, 0, 0.000000, 0, 0, 0
6437.854634, 0.023200, 7.137619e-07, 1.003234e-08, 0, 0.000000, 0, 0, 0
6584.425551, 0.023200, 7.137619e-07, 1.003234e-08, 0, 0.000000, 0, 0, 0
6730.996468, 0.023200, 7.137619e-07, 1.003234e-08, 0, 0.000000, 0, 0, 0
6877.567386, 0.023200, 7.137619e-07, 1.003234e-08, 0, 0.000000, 0, 0, 0
7024.138303, 0.023200, 7.137619e-07, 1.003234e-08, 0, 0.000000, 0, 0, 0
7170.709220, 0.023200, 7.137619e-07, 1.003234e-08, 0, 0.000000, 0, 0, 0
7317.280138, 0.023200, 7.137619e-07, 1.003234e-08, 0, 0.000000, 0, 0, 0
7463.851055, 0.023200, 7.137619e-07, 1.003234e-08, 0, 0.000000, 0, 0, 0
7610.421972, 0.023200, 7.137619e-07, 1.003234e-08, 0, 0.000000, 0, 0, 0
7756.992890, 0.023200, 7.137619e-07, 1.003234e-08, 0, 0.000000, 0, 0, 0
7903.563807, 0.023200, 7.137619e-07, 1.003234e-08, 0, 0.000000, 0, 0, 0
8050.134724, 0.023200, 7.137619e-07, 1.003234e-08, 0, 0.000000, 0, 0, 0
8196.705642, 0.023200, 7.137619e-07, 1.003234e-08, 0, 0.000000, 0, 0, 0
8343.276559, 0.023200, 7.137619e-07, 1.003234e-08, 0, 0.000000, 0, 0, 0
8489.847476, 0.023200, 7.137619e-07, 1.003234e-08, 0, 0.000000, 0, 0, 0
8636.418393, 0.023200, 7.137619e-07, 1.003234e-08, 0, 0.000000, 0, 0, 0
8782.989311, 0.023200, 7.137619e-07, 1.003234e-08, 0, 0.000000, 0, 0, 0
8929.560228, 0.023200, 7.137619e-07, 1.003234e-08, 0, 0.000000, 0, 0, 0
9076.131145, 0.023200, 7.137619e-07, 1.003234e-08, 0, 0.000000, 0, 0, 0
9222.702063, 0.023200, 7.137619e-07, 1.003234e-08, 0, 0.000000, 0, 0, 0
9369.272980, 0.023200, 7.137619e-07, 1.003234e-08, 0, 0.000000, 0, 0, 0
9515.843897, 0.023200, 7.137619e-07, 1.003234e-08, 0, 0.000000, 0, 0, 0
