Clock, Solids Loading, Box Size, AAR, average X Loc, average Y Loc, average Z Loc, Largest Particle Radius, lengthOfSubparticleList, Total Ellipsoids that Merged, Max. WillFit retries, maxLenNpHoldAreClose, Viscosity Scaler
0.000000, 0.023200, 7.121042e-07, 1.000000e-08, 0.507805, 0.507805, 0.496000, 1.000000e-08, 2000, 0, 0, 0, 0.000000
145.698759, 0.023200, 7.122229e-07, 1.000231e-08, 0.495590, 0.495590, 0.508310, 1.462009e-08, 2000, 0, 0, 0, 0.000000
291.465010, 0.023200, 7.123415e-07, 1.000462e-08, 0.495274, 0.495274, 0.492354, 1.462009e-08, 2000, 0, 0, 0, 0.000000
437.225947, 0.023200, 7.123415e-07, 1.000462e-08, 0.498547, 0.498547, 0.488458, 1.462009e-08, 2000, 0, 0, 0, 0.000000
582.986884, 0.023200, 7.123415e-07, 1.000462e-08, 0.496403, 0.496403, 0.504434, 1.462009e-08, 2000, 0, 0, 0, 0.000000
728.747821, 0.023200, 7.123415e-07, 1.000462e-08, 0.487140, 0.487140, 0.494648, 1.462009e-08, 2000, 0, 0, 0, 0.000000
874.508757, 0.023200, 7.123415e-07, 1.000462e-08, 0.496705, 0.496705, 0.501102, 1.462009e-08, 2000, 0, 0, 0, 0.000000
1020.342502, 0.023200, 7.124601e-07, 1.000693e-08, 0.500051, 0.500051, 0.488325, 1.462009e-08, 2000, 0, 0, 0, 0.000000
1166.170935, 0.023200, 7.124601e-07, 1.000693e-08, 0.510842, 0.510842, 0.492449, 1.462009e-08, 2000, 0, 0, 0, 0.000000
1312.072172, 0.023200, 7.125786e-07, 1.000924e-08, 0.500995, 0.500995, 0.494047, 1.462009e-08, 2000, 0, 0, 0, 0.000000
1457.968101, 0.023200, 7.125786e-07, 1.000924e-08, 0.511313, 0.511313, 0.502254, 1.462009e-08, 2000, 0, 0, 0, 0.000000
1603.864031, 0.023200, 7.125786e-07, 1.000924e-08, 0.502738, 0.502738, 0.490909, 1.462009e-08, 2000, 0, 0, 0, 0.000000
1749.832762, 0.023200, 7.126971e-07, 1.001155e-08, 0.504963, 0.504963, 0.507999, 1.462009e-08, 2000, 0, 0, 0, 0.000000
1895.796188, 0.023200, 7.126971e-07, 1.001155e-08, 0.502491, 0.502491, 0.495801, 1.462009e-08, 2000, 0, 0, 0, 0.000000
2041.759614, 0.023200, 7.126971e-07, 1.001155e-08, 0.496949, 0.496949, 0.491419, 1.462009e-08, 2000, 0, 0, 0, 0.000000
2187.723040, 0.023200, 7.126971e-07, 1.001155e-08, 0.492432, 0.492432, 0.488799, 1.462009e-08, 2000, 0, 0, 0, 0.000000
2333.686466, 0.023200, 7.126971e-07, 1.001155e-08, 0.494032, 0.494032, 0.503128, 1.462009e-08, 2000, 0, 0, 0, 0.000000
2479.722692, 0.023200, 7.128156e-07, 1.001386e-08, 0.495375, 0.495375, 0.505364, 1.462009e-08, 2000, 0, 0, 0, 0.000000
2625.753615, 0.023200, 7.128156e-07, 1.001386e-08, 0.495262, 0.495262, 0.499711, 1.462009e-08, 2000, 0, 0, 0, 0.000000
2771.857335, 0.023200, 7.129340e-07, 1.001617e-08, 0.499042, 0.499042, 0.484309, 1.462009e-08, 2000, 0, 0, 0, 0.000000
2917.955756, 0.023200, 7.129340e-07, 1.001617e-08, 0.503674, 0.503674, 0.497570, 1.462009e-08, 2000, 0, 0, 0, 0.000000
3064.126971, 0.023200, 7.130524e-07, 1.001848e-08, 0.506738, 0.506738, 0.494673, 1.462009e-08, 2000, 0, 0, 0, 0.000000
3210.292890, 0.023200, 7.130524e-07, 1.001848e-08, 0.509631, 0.509631, 0.499108, 1.462009e-08, 2000, 0, 0, 0, 0.000000
