Clock, Solids Loading, Box Size, AAR, RT Clock, Not accounted for, CheckForPolymerTangles, Stage One, Stage Two, RunSimulation, CalcParticleBrownianMotion, CalcPolymerBrownianMotion, NudgeParticles
0.000000, 0.023200, 7.121042e-07, 1.000000e-08,     1.6,     0.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     1.5
145.698759, 0.023200, 7.122229e-07, 1.000231e-08,     5.5,    -0.1,     0.0,     0.0,     0.0,     2.3,     0.0,     0.0,     3.2
291.392200, 0.023200, 7.122229e-07, 1.000231e-08,     9.3,     0.1,     0.0,     0.0,     0.0,     4.3,     0.0,     0.0,     4.9
437.085641, 0.023200, 7.122229e-07, 1.000231e-08,    12.7,     0.2,     0.0,     0.0,     0.0,     6.4,     0.0,     0.0,     6.1
582.851892, 0.023200, 7.123415e-07, 1.000462e-08,    17.5,    -0.5,     0.0,     0.0,     0.0,     9.3,     0.1,     0.0,     8.6
728.685637, 0.023200, 7.124601e-07, 1.000693e-08,    22.2,    -0.6,     0.0,     0.0,     0.0,    11.6,     0.1,     0.0,    11.1
874.514069, 0.023200, 7.124601e-07, 1.000693e-08,    26.0,    -0.5,     0.0,     0.0,     0.0,    13.6,     0.1,     0.0,    12.8
1020.415307, 0.023200, 7.125786e-07, 1.000924e-08,    30.0,    -1.1,     0.0,     0.0,     0.0,    16.3,     0.1,     0.0,    14.6
1166.384039, 0.023200, 7.126971e-07, 1.001155e-08,    34.0,    -1.4,     0.0,     0.0,     0.0,    18.8,     0.1,     0.0,    16.5
1312.347464, 0.023200, 7.126971e-07, 1.001155e-08,    37.6,    -1.3,     0.0,     0.0,     0.0,    20.8,     0.1,     0.0,    18.0
1458.383690, 0.023200, 7.128156e-07, 1.001386e-08,    42.1,    -1.9,     0.0,     0.0,     0.0,    23.5,     0.1,     0.0,    20.4
1604.487410, 0.023200, 7.129340e-07, 1.001617e-08,    45.9,    -2.1,     0.0,     0.0,     0.0,    25.7,     0.2,     0.0,    22.0
