Clock, Solids Loading, Box Size, AAR, Ellipsoid count, Ellipsoid VolFrac, Number of Captured Particles, Number of Tangles with Particles, Most Tangles in Ellipsoid
0.000000, 0.023200, 7.121042e-07, 1.000000e-08, 0, 0.000000, 0, 0, 0
145.698759, 0.023200, 7.122229e-07, 1.000231e-08, 0, 0.000000, 0, 0, 0
291.465010, 0.023200, 7.123415e-07, 1.000462e-08, 0, 0.000000, 0, 0, 0
437.298755, 0.023200, 7.124601e-07, 1.000693e-08, 0, 0.000000, 0, 0, 0
583.199992, 0.023200, 7.125786e-07, 1.000924e-08, 0, 0.000000, 0, 0, 0
729.095921, 0.023200, 7.125786e-07, 1.000924e-08, 0, 0.000000, 0, 0, 0
875.064653, 0.023200, 7.126971e-07, 1.001155e-08, 0, 0.000000, 0, 0, 0
1021.100878, 0.023200, 7.128156e-07, 1.001386e-08, 0, 0.000000, 0, 0, 0
1167.131801, 0.023200, 7.128156e-07, 1.001386e-08, 0, 0.000000, 0, 0, 0
1313.162725, 0.023200, 7.128156e-07, 1.001386e-08, 0, 0.000000, 0, 0, 0
1459.266445, 0.023200, 7.129340e-07, 1.001617e-08, 0, 0.000000, 0, 0, 0
1605.437660, 0.023200, 7.130524e-07, 1.001848e-08, 0, 0.000000, 0, 0, 0
1751.603579, 0.023200, 7.130524e-07, 1.001848e-08, 0, 0.000000, 0, 0, 0
1897.842290, 0.023200, 7.131707e-07, 1.002079e-08, 0, 0.000000, 0, 0, 0
2044.075707, 0.023200, 7.131707e-07, 1.002079e-08, 0, 0.000000, 0, 0, 0
2190.309125, 0.023200, 7.131707e-07, 1.002079e-08, 0, 0.000000, 0, 0, 0
2336.615331, 0.023200, 7.132891e-07, 1.002310e-08, 0, 0.000000, 0, 0, 0
2482.916248, 0.023200, 7.132891e-07, 1.002310e-08, 0, 0.000000, 0, 0, 0
2629.217164, 0.023200, 7.132891e-07, 1.002310e-08, 0, 0.000000, 0, 0, 0
2775.590867, 0.023200, 7.134073e-07, 1.002541e-08, 0, 0.000000, 0, 0, 0
2921.959283, 0.023200, 7.134073e-07, 1.002541e-08, 0, 0.000000, 0, 0, 0
3068.327699, 0.023200, 7.134073e-07, 1.002541e-08, 0, 0.000000, 0, 0, 0
3214.696115, 0.023200, 7.134073e-07, 1.002541e-08, 0, 0.000000, 0, 0, 0
3361.064531, 0.023200, 7.134073e-07, 1.002541e-08, 0, 0.000000, 0, 0, 0
3507.432947, 0.023200, 7.134073e-07, 1.002541e-08, 0, 0.000000, 0, 0, 0
3653.874147, 0.023200, 7.135256e-07, 1.002772e-08, 0, 0.000000, 0, 0, 0
3800.382844, 0.023200, 7.136437e-07, 1.003003e-08, 0, 0.000000, 0, 0, 0
3946.886260, 0.023200, 7.136437e-07, 1.003003e-08, 0, 0.000000, 0, 0, 0
4093.462455, 0.023200, 7.137619e-07, 1.003234e-08, 0, 0.000000, 0, 0, 0
4240.033373, 0.023200, 7.137619e-07, 1.003234e-08, 0, 0.000000, 0, 0, 0
4386.604290, 0.023200, 7.137619e-07, 1.003234e-08, 0, 0.000000, 0, 0, 0
4533.247983, 0.023200, 7.138800e-07, 1.003465e-08, 0, 0.000000, 0, 0, 0
4679.959175, 0.023200, 7.139981e-07, 1.003696e-08, 0, 0.000000, 0, 0, 0
4826.665096, 0.023200, 7.139981e-07, 1.003696e-08, 0, 0.000000, 0, 0, 0
4973.371016, 0.023200, 7.139981e-07, 1.003696e-08, 0, 0.000000, 0, 0, 0
5120.076937, 0.023200, 7.139981e-07, 1.003696e-08, 0, 0.000000, 0, 0, 0
5266.855628, 0.023200, 7.141161e-07, 1.003927e-08, 0, 0.000000, 0, 0, 0
5413.701819, 0.023200, 7.142341e-07, 1.004158e-08, 0, 0.000000, 0, 0, 0
5560.542745, 0.023200, 7.142341e-07, 1.004158e-08, 0, 0.000000, 0, 0, 0
5707.456436, 0.023200, 7.143521e-07, 1.004389e-08, 0, 0.000000, 0, 0, 0
5854.364866, 0.023200, 7.143521e-07, 1.004389e-08, 0, 0.000000, 0, 0, 0
6001.346058, 0.023200, 7.144700e-07, 1.004620e-08, 0, 0.000000, 0, 0, 0
6148.394752, 0.023200, 7.145879e-07, 1.004851e-08, 0, 0.000000, 0, 0, 0
6295.510947, 0.023200, 7.147057e-07, 1.005082e-08, 0, 0.000000, 0, 0, 0
6442.694645, 0.023200, 7.148235e-07, 1.005313e-08, 0, 0.000000, 0, 0, 0
6589.873093, 0.023200, 7.148235e-07, 1.005313e-08, 0, 0.000000, 0, 0, 0
6737.051542, 0.023200, 7.148235e-07, 1.005313e-08, 0, 0.000000, 0, 0, 0
6884.229990, 0.023200, 7.148235e-07, 1.005313e-08, 0, 0.000000, 0, 0, 0
7031.481191, 0.023200, 7.149413e-07, 1.005419e-08, 0, 0.000000, 0, 0, 0
7178.727834, 0.023200, 7.149413e-07, 1.005419e-08, 0, 0.000000, 0, 0, 0
7325.974477, 0.023200, 7.149413e-07, 1.005419e-08, 0, 0.000000, 0, 0, 0
7473.221119, 0.023200, 7.149413e-07, 1.005419e-08, 0, 0.000000, 0, 0, 0
7620.467762, 0.023200, 7.149413e-07, 1.005419e-08, 0, 0.000000, 0, 0, 0
7767.714405, 0.023200, 7.149413e-07, 1.005419e-08, 0, 0.000000, 0, 0, 0
7915.033798, 0.023200, 7.150590e-07, 1.005650e-08, 0, 0.000000, 0, 0, 0
8062.347944, 0.023200, 7.150590e-07, 1.005650e-08, 0, 0.000000, 0, 0, 0
8209.662091, 0.023200, 7.150590e-07, 1.005650e-08, 0, 0.000000, 0, 0, 0
8356.976237, 0.023200, 7.150590e-07, 1.005650e-08, 0, 0.000000, 0, 0, 0
8504.363131, 0.023200, 7.151767e-07, 1.005881e-08, 0, 0.000000, 0, 0, 0
8651.744782, 0.023200, 7.151767e-07, 1.005881e-08, 0, 0.000000, 0, 0, 0
8799.199177, 0.023200, 7.152943e-07, 1.006112e-08, 0, 0.000000, 0, 0, 0
8946.648332, 0.023200, 7.152943e-07, 1.006112e-08, 0, 0.000000, 0, 0, 0
9094.097488, 0.023200, 7.152943e-07, 1.006112e-08, 0, 0.000000, 0, 0, 0
9241.546643, 0.023200, 7.152943e-07, 1.006112e-08, 0, 0.000000, 0, 0, 0
9388.995798, 0.023200, 7.152943e-07, 1.006112e-08, 0, 0.000000, 0, 0, 0
9536.444953, 0.023200, 7.152943e-07, 1.006112e-08, 0, 0.000000, 0, 0, 0
